"Index","AVID.Close"
2009-07-06,12.43
2009-07-07,11.84
2009-07-08,11.55
2009-07-09,11.46
2009-07-10,11.21
2009-07-13,11.33
2009-07-14,11.57
2009-07-15,12.18
2009-07-16,12.42
2009-07-17,12.36
2009-07-20,12.79
2009-07-21,12.84
2009-07-22,13.08
2009-07-23,13.41
2009-07-24,12.52
2009-07-27,12.39
2009-07-28,12.45
2009-07-29,12.44
2009-07-30,12.28
2009-07-31,12.25
2009-08-03,12.68
2009-08-04,12.98
2009-08-05,12.96
2009-08-06,12.53
2009-08-07,12.85
2009-08-10,12.57
2009-08-11,12.43
2009-08-12,12.58
2009-08-13,12.96
2009-08-14,12.42
2009-08-17,12.11
2009-08-18,12.2
2009-08-19,12.35
2009-08-20,12.4
2009-08-21,12.87
2009-08-24,13.12
2009-08-25,13.3
2009-08-26,13.33
2009-08-27,13.44
2009-08-28,13.29
2009-08-31,13.03
2009-09-01,12.76
2009-09-02,12.71
2009-09-03,12.69
2009-09-04,12.55
2009-09-08,12.61
2009-09-09,13.01
2009-09-10,13.6
2009-09-11,13.6
2009-09-14,13.81
2009-09-15,14.59
2009-09-16,14.83
2009-09-17,15.2
2009-09-18,15.11
2009-09-21,14.8
2009-09-22,14.91
2009-09-23,14.82
2009-09-24,14.38
2009-09-25,13.84
2009-09-28,14.08
2009-09-29,13.92
2009-09-30,14.09
2009-10-01,13.8
2009-10-02,13.65
2009-10-05,13.73
2009-10-06,14.23
2009-10-07,14.36
2009-10-08,14.76
2009-10-09,14.84
2009-10-12,14.73
2009-10-13,14.88
2009-10-14,15.12
2009-10-15,14.99
2009-10-16,14.9
2009-10-19,15.08
2009-10-20,14.84
2009-10-21,14.84
2009-10-22,15.36
2009-10-23,13.28
2009-10-26,13.24
2009-10-27,13.18
2009-10-28,12.96
2009-10-29,13.21
2009-10-30,12.63
2009-11-02,12.26
2009-11-03,12.54
2009-11-04,12.01
2009-11-05,12.43
2009-11-06,12.47
2009-11-09,12.7
2009-11-10,12.18
2009-11-11,12.34
2009-11-12,11.99
2009-11-13,12.09
2009-11-16,12.92
2009-11-17,12.4
2009-11-18,12.24
2009-11-19,11.69
2009-11-20,11.78
2009-11-23,12.14
2009-11-24,12.05
2009-11-25,11.97
2009-11-27,11.93
2009-11-30,11.9
2009-12-01,12.14
2009-12-02,11.93
2009-12-03,11.71
2009-12-04,12.04
2009-12-07,12.03
2009-12-08,11.94
2009-12-09,11.95
2009-12-10,11.82
2009-12-11,11.83
2009-12-14,12.12
2009-12-15,12
2009-12-16,12.07
2009-12-17,11.98
2009-12-18,12.08
2009-12-21,12.46
2009-12-22,12.52
2009-12-23,12.9
2009-12-24,12.89
2009-12-28,12.79
2009-12-29,12.94
2009-12-30,13.09
2009-12-31,12.76
2010-01-04,13.13
2010-01-05,12.89
2010-01-06,12.73
2010-01-07,12.75
2010-01-08,12.81
2010-01-11,12.87
2010-01-12,12.88
2010-01-13,13.59
2010-01-14,13.88
2010-01-15,13.55
2010-01-19,13.84
2010-01-20,13.16
2010-01-21,12.69
2010-01-22,12.6
2010-01-25,12.67
2010-01-26,12.6
2010-01-27,12.64
2010-01-28,12.46
2010-01-29,12.63
2010-02-01,12.68
2010-02-02,12.9
2010-02-03,12.88
2010-02-04,12.75
2010-02-05,12.75
2010-02-08,12.52
2010-02-09,12.72
2010-02-10,12.77
2010-02-11,12.99
2010-02-12,13.09
2010-02-16,13.37
2010-02-17,13.36
2010-02-18,13.65
2010-02-19,13.8
2010-02-22,13.7
2010-02-23,13.61
2010-02-24,13.73
2010-02-25,13.48
2010-02-26,13.45
2010-03-01,14.08
2010-03-02,13.99
2010-03-03,13.99
2010-03-04,14.13
2010-03-05,14.52
2010-03-08,14.64
2010-03-09,14.68
2010-03-10,14.77
2010-03-11,14.51
2010-03-12,14.27
2010-03-15,14.47
2010-03-16,14.26
2010-03-17,14.17
2010-03-18,14
2010-03-19,14.17
2010-03-22,14.29
2010-03-23,14.23
2010-03-24,14.04
2010-03-25,13.94
2010-03-26,14.01
2010-03-29,13.99
2010-03-30,14.22
2010-03-31,13.78
2010-04-05,14.99
2010-04-06,15.2
2010-04-07,16.11
2010-04-08,16.39
2010-04-09,16.61
2010-04-12,16.84
2010-04-13,16.95
2010-04-14,17.44
2010-04-15,17.04
2010-04-16,17.33
2010-04-19,17.23
2010-04-20,17.81
2010-04-21,17.64
2010-04-22,17.27
2010-04-23,15.62
2010-04-26,15.1
2010-04-27,15.07
2010-04-28,14.92
2010-04-29,15.15
2010-04-30,14.6
2010-05-03,15.06
2010-05-04,14.69
2010-05-05,14.5
2010-05-06,14.09
2010-05-07,13.78
2010-05-10,14.41
2010-05-11,14.87
2010-05-12,15.01
2010-05-13,14.84
2010-05-14,14.72
2010-05-17,14.88
2010-05-18,14.32
2010-05-19,14.09
2010-05-20,13.56
2010-05-21,13.48
2010-05-24,13.17
2010-05-25,13.43
2010-05-26,13.37
2010-05-27,13.87
2010-05-28,13.48
2010-06-01,12.94
2010-06-02,13.48
2010-06-03,13.82
2010-06-04,13.15
2010-06-07,12.83
2010-06-08,12.35
2010-06-09,12.41
2010-06-10,12.76
2010-06-11,12.89
2010-06-14,13.01
2010-06-15,13.37
2010-06-16,13.32
2010-06-17,13.14
2010-06-18,13.33
2010-06-21,13.23
2010-06-22,13.08
2010-06-23,13.19
2010-06-24,13.02
2010-06-25,13.34
2010-06-28,13.22
2010-06-29,12.95
2010-06-30,12.73
2010-07-01,12.52
2010-07-02,12.41
2010-07-06,12.04
2010-07-07,12.16
2010-07-08,12.15
2010-07-09,12.7
2010-07-12,12.48
2010-07-13,13
2010-07-14,13.01
2010-07-15,12.51
2010-07-16,12.01
2010-07-19,12.01
2010-07-20,11.95
2010-07-21,11.9
2010-07-22,12.1
2010-07-23,13.29
2010-07-26,13.47
2010-07-27,13.66
2010-07-28,12.97
2010-07-29,12.95
2010-07-30,12.93
2010-08-02,12.9
2010-08-03,12.93
2010-08-04,13.13
2010-08-05,13.01
2010-08-06,12.94
2010-08-09,12.9
2010-08-10,12.26
2010-08-11,11.84
2010-08-12,11.72
2010-08-13,11.61
2010-08-16,11.8
2010-08-17,11.95
2010-08-18,11.91
2010-08-19,11.61
2010-08-20,11.7
2010-08-23,11.61
2010-08-24,11.22
2010-08-25,11.3
2010-08-26,11.12
2010-08-27,11.59
2010-08-30,11.23
2010-08-31,11.05
2010-09-01,11.49
2010-09-02,11.49
2010-09-03,11.77
2010-09-07,11.34
2010-09-08,11.19
2010-09-09,11.38
2010-09-10,11.41
2010-09-13,11.64
2010-09-14,11.57
2010-09-15,11.77
2010-09-16,11.92
2010-09-17,12.16
2010-09-20,12.74
2010-09-21,12.75
2010-09-22,12.63
2010-09-23,12.22
2010-09-24,12.71
2010-09-27,12.76
2010-09-28,12.82
2010-09-29,13.14
2010-09-30,13.11
2010-10-01,13.19
2010-10-04,12.84
2010-10-05,13.35
2010-10-06,13.68
2010-10-07,13.45
2010-10-08,13.77
2010-10-11,13.73
2010-10-12,13.6
2010-10-13,13.99
2010-10-14,14.11
2010-10-15,13.95
2010-10-18,13.96
2010-10-19,13.43
2010-10-20,13.84
2010-10-21,13.6
2010-10-22,12.75
2010-10-25,12.8
2010-10-26,12.78
2010-10-27,12.72
2010-10-28,12.61
2010-10-29,12.62
2010-11-01,12.28
2010-11-02,12.7
2010-11-03,12.91
2010-11-04,13.17
2010-11-05,13.36
2010-11-08,13.34
2010-11-09,13.26
2010-11-10,13.54
2010-11-11,14.18
2010-11-12,14.03
2010-11-15,14.26
2010-11-16,14.31
2010-11-17,14.91
2010-11-18,15.34
2010-11-19,15.5
2010-11-22,15.63
2010-11-23,15.48
2010-11-24,16.09
2010-11-26,15.95
2010-11-29,15.79
2010-11-30,15.78
2010-12-01,16.23
2010-12-02,16.41
2010-12-03,16.7
2010-12-06,16.88
2010-12-07,17.15
2010-12-08,17.58
2010-12-09,17.47
2010-12-10,17.76
2010-12-13,17.61
2010-12-14,17.57
2010-12-15,17.99
2010-12-16,18.26
2010-12-17,18.2
2010-12-20,18.27
2010-12-21,18.76
2010-12-22,18.04
2010-12-23,17.84
2010-12-27,17.86
2010-12-28,17.96
2010-12-29,17.92
2010-12-30,17.48
2010-12-31,17.46
2011-01-03,18.08
2011-01-04,17.27
2011-01-05,17.41
2011-01-06,17.35
2011-01-07,17.31
2011-01-10,17.39
2011-01-11,17.17
2011-01-12,17.54
2011-01-13,17.82
2011-01-14,18
2011-01-18,17.95
2011-01-19,17.47
2011-01-20,16.84
2011-01-21,16.99
2011-01-24,17.24
2011-01-25,17.23
2011-01-26,17.42
2011-01-27,17
2011-01-28,16.5
2011-01-31,16.65
2011-02-01,16.9
2011-02-02,17.14
2011-02-03,17.33
2011-02-04,19.08
2011-02-07,20.83
2011-02-08,21.95
2011-02-09,22.43
2011-02-10,22.47
2011-02-11,22.22
2011-02-14,22.31
2011-02-15,21.99
2011-02-16,22.28
2011-02-17,23
2011-02-18,22.48
2011-02-22,21.58
2011-02-23,21.42
2011-02-24,21.36
2011-02-25,21.94
2011-02-28,22.06
2011-03-01,21.52
2011-03-02,21.46
2011-03-03,21.87
2011-03-04,21.61
2011-03-07,21.39
2011-03-08,22.42
2011-03-09,22.44
2011-03-10,22.26
2011-03-11,22.17
2011-03-14,22.48
2011-03-15,22.1
2011-03-16,21.34
2011-03-17,20.96
2011-03-18,22.37
2011-03-21,22.4
2011-03-22,22.38
2011-03-23,22.17
2011-03-24,21.97
2011-03-25,21.75
2011-03-28,22.06
2011-03-29,22.2
2011-03-30,22.28
2011-03-31,22.3
2011-04-01,22.05
2011-04-04,21.72
2011-04-05,21.81
2011-04-06,21.88
