"Index","ACGL.Close"
2008-12-31,23.37
2009-01-02,22.99
2009-01-05,22.79
2009-01-06,22.75
2009-01-07,22.38
2009-01-08,22.76
2009-01-09,22.35
2009-01-12,22.23
2009-01-13,22.59
2009-01-14,22.09
2009-01-15,22.33
2009-01-16,22.73
2009-01-20,21.51
2009-01-21,22.21
2009-01-22,21.7
2009-01-23,21.52
2009-01-26,20.9
2009-01-27,20.92
2009-01-28,21.66
2009-01-29,20.37
2009-01-30,20.05
2009-02-02,19.78
2009-02-03,20.25
2009-02-04,19.68
2009-02-05,19.73
2009-02-06,19.99
2009-02-09,20.24
2009-02-10,19.46
2009-02-11,20.16
2009-02-12,21.01
2009-02-13,21.14
2009-02-17,20.21
2009-02-18,19.85
2009-02-19,18.59
2009-02-20,18.49
2009-02-23,17.33
2009-02-24,17.85
2009-02-25,18.02
2009-02-26,17.96
2009-02-27,18
2009-03-02,17.52
2009-03-03,17.11
2009-03-04,16.78
2009-03-05,15.92
2009-03-06,15.93
2009-03-09,15.03
2009-03-10,16.23
2009-03-11,15.92
2009-03-12,16.31
2009-03-13,16.88
2009-03-16,16.96
2009-03-17,17.75
2009-03-18,18.47
2009-03-19,17.79
2009-03-20,17.61
2009-03-23,18.97
2009-03-24,17.98
2009-03-25,18.42
2009-03-26,18.46
2009-03-27,18.3
2009-03-30,17.71
2009-03-31,17.95
2009-04-01,18.58
2009-04-02,18.83
2009-04-03,19.02
2009-04-06,19.25
2009-04-07,19.08
2009-04-08,19.17
2009-04-09,19.72
2009-04-13,19.72
2009-04-14,18.6
2009-04-15,19.08
2009-04-16,19.08
2009-04-17,18.4
2009-04-20,17.59
2009-04-21,18.58
2009-04-22,18.23
2009-04-23,18.69
2009-04-24,18.39
2009-04-27,18.48
2009-04-28,19.02
2009-04-29,20
2009-04-30,19.26
2009-05-01,18.91
2009-05-04,19.54
2009-05-05,18.89
2009-05-06,19.29
2009-05-07,19.1
2009-05-08,19.93
2009-05-11,19.38
2009-05-12,19.62
2009-05-13,19.65
2009-05-14,19.86
2009-05-15,19.23
2009-05-18,19.93
2009-05-19,19.3
2009-05-20,19
2009-05-21,19.02
2009-05-22,18.82
2009-05-26,19.32
2009-05-27,18.71
2009-05-28,18.68
2009-05-29,18.94
2009-06-01,19.48
2009-06-02,19.88
2009-06-03,19.75
2009-06-04,19.97
2009-06-05,19.74
2009-06-08,19.35
2009-06-09,19.71
2009-06-10,19.74
2009-06-11,19.65
2009-06-12,19.46
2009-06-15,19.22
2009-06-16,18.84
2009-06-17,18.49
2009-06-18,18.95
2009-06-19,18.78
2009-06-22,18.63
2009-06-23,18.67
2009-06-24,19
2009-06-25,19.47
2009-06-26,19.64
2009-06-29,19.37
2009-06-30,19.53
2009-07-01,19.95
2009-07-02,19.39
2009-07-06,19.85
2009-07-07,19.41
2009-07-08,19.19
2009-07-09,19.47
2009-07-10,19.39
2009-07-13,20.23
2009-07-14,19.85
2009-07-15,20.32
2009-07-16,20.38
2009-07-17,20.03
2009-07-20,20.41
2009-07-21,20.79
2009-07-22,21.24
2009-07-23,21.45
2009-07-24,21.07
2009-07-27,20.95
2009-07-28,20.67
2009-07-29,20.52
2009-07-30,20.45
2009-07-31,20.73
2009-08-03,20.98
2009-08-04,20.84
2009-08-05,20.96
2009-08-06,20.61
2009-08-07,20.9
2009-08-10,20.95
2009-08-11,20.59
2009-08-12,20.94
2009-08-13,20.97
2009-08-14,20.78
2009-08-17,20.7
2009-08-18,20.75
2009-08-19,20.77
2009-08-20,20.8
2009-08-21,20.97
2009-08-24,21
2009-08-25,21.39
2009-08-26,21.37
2009-08-27,21.48
2009-08-28,21.42
2009-08-31,21.66
2009-09-01,21.47
2009-09-02,21.4
2009-09-03,21.82
2009-09-04,21.72
2009-09-08,21.37
2009-09-09,21.57
2009-09-10,21.44
2009-09-11,21.51
2009-09-14,21.32
2009-09-15,21.49
2009-09-16,21.91
2009-09-17,22.06
2009-09-18,22.31
2009-09-21,22.36
2009-09-22,22.14
2009-09-23,22.02
2009-09-24,22.16
2009-09-25,22.34
2009-09-28,22.93
2009-09-29,22.69
2009-09-30,22.51
2009-10-01,22.42
2009-10-02,22.35
2009-10-05,22.47
2009-10-06,23.02
2009-10-07,23.38
2009-10-08,23.36
2009-10-09,23
2009-10-12,23.23
2009-10-13,22.95
