"Index","TSRX.Close"
2011-09-12,6.22
2011-09-13,6.12
2011-09-14,6.44
2011-09-15,6.51
2011-09-16,6.41
2011-09-19,6.23
2011-09-20,6.15
2011-09-21,6.15
2011-09-22,6.23
2011-09-23,6.64
2011-09-26,6.59
2011-09-27,6.65
2011-09-28,6.46
2011-09-29,6.61
2011-09-30,6.3
2011-10-03,5.71
2011-10-04,6.05
2011-10-05,6.31
2011-10-06,6.34
2011-10-07,6.22
2011-10-10,6.35
2011-10-11,6.38
2011-10-12,6.67
2011-10-13,6.72
2011-10-14,6.93
2011-10-17,6.44
2011-10-18,6.62
2011-10-19,6.41
2011-10-20,6.43
2011-10-21,6.59
2011-10-24,6.6
2011-10-25,6.82
2011-10-26,7.02
2011-10-27,7.26
2011-10-28,7.21
2011-10-31,6.85
2011-11-01,6.67
2011-11-02,6.79
2011-11-03,6.72
2011-11-04,6.8
2011-11-07,6.98
2011-11-08,7.07
2011-11-09,7.11
2011-11-10,7.04
2011-11-11,7.45
2011-11-14,7.49
2011-11-15,7.43
2011-11-16,7.43
2011-11-17,7.78
2011-11-18,7.85
2011-11-21,7.32
2011-11-22,7.22
2011-11-23,6.94
2011-11-25,6.95
2011-11-28,7.3
2011-11-29,7.7
2011-11-30,7.42
2011-12-01,7.49
2011-12-02,7.46
2011-12-05,7.21
2011-12-06,7.23
2011-12-07,7.26
2011-12-08,6.98
2011-12-09,7.23
2011-12-12,7.01
2011-12-13,7
2011-12-14,6.89
2011-12-15,6.84
2011-12-16,6.83
2011-12-19,6.01
2011-12-20,6.59
2011-12-21,6.75
2011-12-22,6.89
2011-12-23,7.05
2011-12-27,7.22
2011-12-28,6.69
2011-12-29,6.71
2011-12-30,7.15
2012-01-03,6.93
2012-01-04,6.75
2012-01-05,6.72
2012-01-06,6.82
2012-01-09,6.52
2012-01-10,6.42
2012-01-11,6.46
2012-01-12,6.01
2012-01-13,5.33
2012-01-17,5.42
2012-01-18,5.61
2012-01-19,5.46
2012-01-20,5.42
2012-01-23,5.69
2012-01-24,5.73
2012-01-25,5.79
2012-01-26,5.37
2012-01-27,5.37
2012-01-30,5.65
2012-01-31,5.56
2012-02-01,5.59
2012-02-02,5.55
2012-02-03,5.57
2012-02-06,5.59
2012-02-07,5.66
2012-02-08,5.6
2012-02-09,5.5
2012-02-10,5.47
2012-02-13,5.33
2012-02-14,5.36
2012-02-15,5.22
2012-02-16,5.41
2012-02-17,5.26
2012-02-21,5.25
2012-02-22,5.15
2012-02-23,5.24
2012-02-24,5.33
2012-02-27,5.33
2012-02-28,5.22
2012-02-29,5.06
2012-03-01,5.22
2012-03-02,5.16
2012-03-05,5.08
2012-03-06,4.92
2012-03-07,4.91
2012-03-08,4.8
2012-03-09,4.81
2012-03-12,5.06
2012-03-13,5.04
2012-03-14,5.03
2012-03-15,5.01
2012-03-16,4.97
2012-03-19,5.01
2012-03-20,4.85
2012-03-21,4.86
2012-03-22,4.92
2012-03-23,4.98
2012-03-26,5.14
2012-03-27,5.12
2012-03-28,5.03
2012-03-29,5.13
2012-03-30,5.35
2012-04-02,5.2
2012-04-03,5.18
2012-04-04,5.08
2012-04-05,5.16
2012-04-09,5.26
2012-04-10,5.07
2012-04-11,5.13
2012-04-12,5.13
2012-04-13,5.22
2012-04-16,5.26
2012-04-17,5.15
2012-04-18,5.04
2012-04-19,5.23
2012-04-20,5.24
2012-04-23,5.13
2012-04-24,5.14
2012-04-25,5.2
2012-04-26,5.18
2012-04-27,5.15
2012-04-30,5.37
2012-05-01,5.36
2012-05-02,5.36
2012-05-03,5.25
2012-05-04,5.32
2012-05-07,5.25
2012-05-08,5.29
2012-05-09,5.2
2012-05-10,5.25
2012-05-11,5.29
2012-05-14,5.35
2012-05-15,5.33
2012-05-16,5.29
2012-05-17,5.14
2012-05-18,4.99
2012-05-21,5.13
2012-05-22,5.05
2012-05-23,5.04
2012-05-24,5.27
2012-05-25,5.14
2012-05-29,5.16
2012-05-30,5.01
2012-05-31,5.13
2012-06-01,5.03
2012-06-04,5.06
2012-06-05,5.05
2012-06-06,5.06
2012-06-07,4.99
2012-06-08,5.11
2012-06-11,5.17
2012-06-12,5.12
2012-06-13,5.02
2012-06-14,5.09
2012-06-15,5.14
