"Index","ASFI.Close"
2009-06-10,5.95
2009-06-11,6.02
2009-06-12,5.79
2009-06-15,5.57
2009-06-16,5.6
2009-06-17,5.47
2009-06-18,5.56
2009-06-19,5.11
2009-06-22,5.08
2009-06-23,5.17
2009-06-24,5.19
2009-06-25,5.4
2009-06-26,5.36
2009-06-29,5.28
2009-06-30,5.39
2009-07-01,5.28
2009-07-02,5.25
2009-07-06,5.25
2009-07-07,5.3
2009-07-08,5.24
2009-07-09,5.13
2009-07-10,5.15
2009-07-13,5.44
2009-07-14,5.54
2009-07-15,5.54
2009-07-16,5.51
2009-07-17,5.57
2009-07-20,5.75
2009-07-21,5.85
2009-07-22,5.79
2009-07-23,5.76
2009-07-24,5.7
2009-07-27,6.14
2009-07-28,6
2009-07-29,6.06
2009-07-30,6.29
2009-07-31,6.41
2009-08-03,6.2
2009-08-04,6.38
2009-08-05,6.65
2009-08-06,6.72
2009-08-07,6.84
2009-08-10,6.95
2009-08-11,7.03
2009-08-12,7.1
2009-08-13,7
2009-08-14,7.25
2009-08-17,7.18
2009-08-18,7.37
2009-08-19,7.72
2009-08-20,8.65
2009-08-21,8.81
2009-08-24,8.71
2009-08-25,9.06
2009-08-26,9.14
2009-08-27,9.1
2009-08-28,9
2009-08-31,8.65
2009-09-01,7.84
2009-09-02,7.77
2009-09-03,8.42
2009-09-04,8.46
2009-09-08,8.13
2009-09-09,8.4
2009-09-10,8.38
2009-09-11,8.36
2009-09-14,8.34
2009-09-15,8.34
2009-09-16,8.25
2009-09-17,8.24
2009-09-18,8.15
2009-09-21,8.06
2009-09-22,8.04
2009-09-23,7.7
2009-09-24,7.7
2009-09-25,7.21
2009-09-28,7.51
2009-09-29,7.7
2009-09-30,7.56
2009-10-01,7.17
2009-10-02,7.22
2009-10-05,7.56
2009-10-06,7.39
2009-10-07,7.2
2009-10-08,7.51
2009-10-09,7.63
2009-10-12,7.5
2009-10-13,7.42
2009-10-14,7.16
2009-10-15,7.59
2009-10-16,7.3
2009-10-19,7.2
2009-10-20,7.26
2009-10-21,7.18
2009-10-22,7.3
2009-10-23,7
2009-10-26,6.63
2009-10-27,7.12
2009-10-28,6.82
2009-10-29,7.18
2009-10-30,6.53
2009-11-02,7.07
2009-11-03,6.96
2009-11-04,7
2009-11-05,7.33
2009-11-06,7.08
2009-11-09,6.75
2009-11-10,7
2009-11-11,7.02
2009-11-12,7.05
2009-11-13,7.22
2009-11-16,7.1
2009-11-17,7.1
2009-11-18,7.12
2009-11-19,7.04
2009-11-20,7.01
2009-11-23,7.05
2009-11-24,7.05
2009-11-25,6.96
2009-11-27,6.97
2009-11-30,6.76
2009-12-01,7.07
2009-12-02,7.17
2009-12-03,7.07
2009-12-04,8.1
2009-12-07,8.15
2009-12-08,8.08
2009-12-09,8.13
2009-12-10,8.17
2009-12-11,8.07
2009-12-14,8.28
2009-12-15,8.4
2009-12-16,7.67
2009-12-17,7.3
2009-12-18,7.14
2009-12-21,7.13
2009-12-22,7.09
2009-12-23,7.1
2009-12-24,7.2
2009-12-28,7.16
2009-12-29,7.31
2009-12-30,7
2009-12-31,7.09
2010-01-04,6.9
2010-01-05,6.95
2010-01-06,6.93
2010-01-07,6.95
2010-01-08,6.9
2010-01-11,6.97
2010-01-12,6.9
2010-01-13,6.95
2010-01-14,6.97
2010-01-15,6.8
2010-01-19,6.85
2010-01-20,6.85
2010-01-21,6.84
2010-01-22,6.78
2010-01-25,6.73
2010-01-26,6.62
2010-01-27,6.53
2010-01-28,6.46
2010-01-29,6.29
2010-02-01,6.16
2010-02-02,6.13
2010-02-03,6.4
2010-02-04,6.59
2010-02-05,6.57
2010-02-08,6.65
2010-02-09,6.75
2010-02-10,7.3
2010-02-11,7.35
2010-02-12,7.39
2010-02-16,7.09
2010-02-17,6.99
2010-02-18,7.14
2010-02-19,7.15
2010-02-22,7.2
2010-02-23,7.11
2010-02-24,6.9
2010-02-25,6.93
2010-02-26,6.74
2010-03-01,7.15
2010-03-02,7.03
2010-03-03,6.95
2010-03-04,6.92
2010-03-05,7.24
2010-03-08,7.54
2010-03-09,7.35
2010-03-10,7.55
2010-03-11,7.39
2010-03-12,7.78
2010-03-15,7.59
2010-03-16,7.46
2010-03-17,7.28
2010-03-18,7.32
2010-03-19,7.04
2010-03-22,7.05
2010-03-23,6.98
2010-03-24,7.09
2010-03-25,7.29
2010-03-26,7.51
2010-03-29,7.31
2010-03-30,7.27
2010-03-31,7.04
2010-04-05,7.59
2010-04-06,7.48
2010-04-07,7.45
2010-04-08,7.46
2010-04-09,7.48
2010-04-12,7.6
2010-04-13,7.5
2010-04-14,7.49
2010-04-15,7.45
2010-04-16,7.34
2010-04-19,7.41
2010-04-20,7.49
2010-04-21,7.41
2010-04-22,7.45
2010-04-23,7.58
2010-04-26,7.6
2010-04-27,7.76
2010-04-28,7.71
2010-04-29,7.77
2010-04-30,7.73
2010-05-03,7.76
2010-05-04,7.82
2010-05-05,7.91
2010-05-06,7.91
2010-05-07,7.79
2010-05-10,8.05
2010-05-11,8.2
2010-05-12,8.61
2010-05-13,8.52
2010-05-14,8.45
2010-05-17,8.87
2010-05-18,8.83
2010-05-19,8.48
2010-05-20,8.1
2010-05-21,8.5
2010-05-24,9.01
2010-05-25,8.8
2010-05-26,8.69
2010-05-27,8.9
2010-05-28,8.95
2010-06-01,9.01
2010-06-02,8.94
2010-06-03,9.08
2010-06-04,8.94
2010-06-07,8.9
2010-06-08,9
2010-06-09,9
2010-06-10,9.05
2010-06-11,9.04
2010-06-14,8.93
2010-06-15,9.02
2010-06-16,8.87
2010-06-17,8.91
2010-06-18,8.95
2010-06-21,8.84
2010-06-22,8.9
2010-06-23,9.15
2010-06-24,8.84
2010-06-25,9.11
2010-06-28,9.38
2010-06-29,9.67
2010-06-30,9.87
2010-07-01,9.37
2010-07-02,9.08
2010-07-06,8.8
2010-07-07,8.83
2010-07-08,8.93
2010-07-09,9.3
2010-07-12,9.33
2010-07-13,9.28
2010-07-14,9.15
2010-07-15,9.21
2010-07-16,9
2010-07-19,9.1
2010-07-20,9.13
2010-07-21,9
2010-07-22,9.18
2010-07-23,9.06
2010-07-26,9.18
2010-07-27,9.15
2010-07-28,9.04
2010-07-29,9.05
2010-07-30,9.05
2010-08-02,9.06
2010-08-03,9.04
2010-08-04,9.02
2010-08-05,9.41
2010-08-06,9.41
2010-08-09,9.51
2010-08-10,9.37
2010-08-11,9.25
2010-08-12,9.25
2010-08-13,9.24
2010-08-16,9.38
2010-08-17,9.37
2010-08-18,9.17
2010-08-19,8.72
2010-08-20,8.52
2010-08-23,8.27
2010-08-24,8.07
2010-08-25,8.4
2010-08-26,8.02
2010-08-27,8.54
2010-08-30,8.36
2010-08-31,8.15
2010-09-01,8.22
2010-09-02,8.03
2010-09-03,8.29
2010-09-07,8.09
2010-09-08,8.25
2010-09-09,8.18
2010-09-10,8.18
2010-09-13,8.65
2010-09-14,8.52
2010-09-15,8.39
2010-09-16,8.28
2010-09-17,8.47
2010-09-20,8.9
2010-09-21,8.36
2010-09-22,7.9
2010-09-23,7.77
2010-09-24,7.72
2010-09-27,7.38
2010-09-28,7.79
2010-09-29,7.67
2010-09-30,7.63
2010-10-01,7.64
2010-10-04,7.61
2010-10-05,8
2010-10-06,8.15
2010-10-07,8.11
2010-10-08,7.96
2010-10-11,7.84
2010-10-12,7.99
2010-10-13,8.07
2010-10-14,8.15
2010-10-15,8.28
2010-10-18,8.6
2010-10-19,8.39
2010-10-20,8.45
2010-10-21,8.44
2010-10-22,8.45
2010-10-25,8.5
2010-10-26,8.43
2010-10-27,8.42
2010-10-28,8.45
2010-10-29,8.23
2010-11-01,8.18
2010-11-02,8.3
2010-11-03,8.31
2010-11-04,8.49
2010-11-05,8.44
2010-11-08,8.4
2010-11-09,8.38
2010-11-10,8.44
2010-11-11,8.36
2010-11-12,8.19
2010-11-15,8.21
2010-11-16,7.77
2010-11-17,7.54
2010-11-18,7.59
2010-11-19,7.74
2010-11-22,7.74
2010-11-23,7.22
2010-11-24,7.15
2010-11-26,7.54
2010-11-29,7.35
2010-11-30,7.15
2010-12-01,7.08
2010-12-02,7.11
2010-12-03,7
2010-12-06,6.89
2010-12-07,6.89
2010-12-08,7.22
2010-12-09,7.44
2010-12-10,7.56
2010-12-13,7.6
2010-12-14,7.63
2010-12-15,8.14
2010-12-16,8.05
2010-12-17,8.15
2010-12-20,8.2
2010-12-21,8.35
2010-12-22,8.44
2010-12-23,8.44
2010-12-27,8.4
2010-12-28,8.2
2010-12-29,8.25
2010-12-30,8.06
2010-12-31,8.1
2011-01-03,8.5
2011-01-04,8.4
2011-01-05,8.52
2011-01-06,8.33
2011-01-07,8.22
2011-01-10,8.16
2011-01-11,8.34
2011-01-12,8.6
2011-01-13,8.65
2011-01-14,8.8
2011-01-18,8.75
2011-01-19,8
2011-01-20,7.61
2011-01-21,7.51
2011-01-24,7.57
2011-01-25,7.92
2011-01-26,8.13
2011-01-27,8.13
2011-01-28,7.59
2011-01-31,7.68
2011-02-01,7.83
2011-02-02,7.73
2011-02-03,7.7
2011-02-04,7.59
2011-02-07,7.63
2011-02-08,7.77
2011-02-09,8.12
2011-02-10,8.26
2011-02-11,8.29
2011-02-14,8.36
2011-02-15,8.33
2011-02-16,8.35
2011-02-17,8.35
