"Index","MYRX.Close"
2011-02-08,4.01
2011-02-09,3.93
2011-02-10,4.03
2011-02-11,4.04
2011-02-14,4.03
2011-02-15,4
2011-02-16,3.98
2011-02-17,4.02
2011-02-18,3.95
2011-02-22,3.9
2011-02-23,3.89
2011-02-24,3.86
2011-02-25,3.85
2011-02-28,3.83
2011-03-01,3.85
2011-03-02,3.88
2011-03-03,3.87
2011-03-04,3.82
2011-03-07,3.76
2011-03-08,3.8
2011-03-09,3.82
2011-03-10,3.81
2011-03-11,3.8
2011-03-14,3.77
2011-03-15,3.77
2011-03-16,3.73
2011-03-17,3.76
2011-03-18,3.83
2011-03-21,3.84
2011-03-22,3.85
2011-03-23,3.83
2011-03-24,3.82
2011-03-25,3.81
2011-03-28,3.82
2011-03-29,3.86
2011-03-30,3.82
2011-03-31,3.85
2011-04-01,3.85
2011-04-04,3.85
2011-04-05,3.85
2011-04-06,4.27
2011-04-07,4.3
2011-04-08,4.21
2011-04-11,4.14
2011-04-12,4.09
2011-04-13,4.26
2011-04-14,4.23
2011-04-15,4.16
2011-04-18,4.11
2011-04-19,4.16
2011-04-20,4.31
2011-04-21,4.35
2011-04-25,4.43
2011-04-26,4.35
2011-04-27,4.46
2011-04-28,4.38
2011-04-29,4.23
2011-05-02,4.3
2011-05-03,4.2
2011-05-04,4.31
2011-05-05,4.18
2011-05-06,4.23
2011-05-09,4.25
2011-05-10,4.25
2011-05-11,4.34
2011-05-12,4.35
2011-05-13,4.33
2011-05-16,4.23
2011-05-17,4.14
2011-05-18,4.25
2011-05-19,4.2
2011-05-20,4.06
2011-05-23,4
2011-05-24,3.9
2011-05-25,3.95
2011-05-26,4.04
2011-05-27,4.15
2011-05-31,4.19
2011-06-01,4.15
2011-06-02,4.14
2011-06-03,4.11
2011-06-06,3.98
2011-06-07,3.96
2011-06-08,3.83
2011-06-09,3.81
2011-06-10,3.77
2011-06-13,3.61
2011-06-14,3.66
2011-06-15,3.59
2011-06-16,3.63
2011-06-17,3.68
2011-06-20,3.62
2011-06-21,3.59
2011-06-22,3.68
2011-06-23,3.59
2011-06-24,3.61
2011-06-27,3.53
2011-06-28,3.53
2011-06-29,3.53
2011-06-30,3.58
2011-07-01,3.47
2011-07-05,3.5
2011-07-06,3.6
2011-07-07,3.61
2011-07-08,3.6
2011-07-11,3.49
2011-07-12,3.5
2011-07-13,3.64
2011-07-14,3.6
2011-07-15,3.57
