"Index","NEWN.Close"
2012-10-22,0.56
2012-10-23,0.55
2012-10-24,0.55
2012-10-25,0.57
2012-10-26,0.59
2012-10-31,0.57
2012-11-01,0.6
2012-11-02,0.54
2012-11-05,0.54
2012-11-06,0.54
2012-11-07,0.53
2012-11-08,0.52
2012-11-09,0.52
2012-11-12,0.5
2012-11-13,0.45
2012-11-14,0.46
2012-11-15,0.4
2012-11-16,0.49
2012-11-19,0.45
2012-11-20,0.52
2012-11-21,0.51
2012-11-23,0.51
2012-11-26,0.53
2012-11-27,0.46
2012-11-28,0.46
2012-11-29,0.48
2012-11-30,0.49
2012-12-03,0.48
2012-12-04,0.46
2012-12-05,0.48
2012-12-06,0.54
2012-12-07,0.5
2012-12-10,0.48
2012-12-11,0.51
2012-12-12,0.5
2012-12-13,0.51
2012-12-14,0.51
2012-12-17,0.51
2012-12-18,0.51
2012-12-19,0.51
2012-12-20,0.5
2012-12-21,0.5
2012-12-24,0.47
2012-12-26,0.45
2012-12-27,0.45
2012-12-28,0.41
2012-12-31,0.4
2013-01-02,0.48
2013-01-03,0.46
2013-01-04,0.43
2013-01-07,0.45
2013-01-08,0.45
2013-01-09,0.46
2013-01-10,0.43
2013-01-11,0.42
2013-01-14,0.43
2013-01-15,0.43
2013-01-16,0.43
2013-01-17,0.42
2013-01-18,0.42
2013-01-22,0.41
2013-01-23,0.41
2013-01-24,0.44
2013-01-25,0.44
2013-01-28,0.4
2013-01-29,0.42
2013-01-30,0.42
2013-01-31,0.44
2013-02-01,0.42
2013-02-04,0.4
2013-02-05,0.42
2013-02-06,0.43
2013-02-07,0.39
2013-02-08,0.4
2013-02-11,0.38
2013-02-12,0.41
2013-02-13,0.4
2013-02-14,0.42
2013-02-15,0.4
2013-02-19,0.4
2013-02-20,0.4
2013-02-21,0.41
2013-02-22,0.39
2013-02-25,0.37
2013-02-26,0.38
2013-02-27,0.36
2013-02-28,0.36
2013-03-01,0.37
2013-03-04,0.66
2013-03-05,0.6
2013-03-06,0.59
2013-03-07,0.54
2013-03-08,0.55
2013-03-11,0.5
2013-03-12,0.5
2013-03-13,0.49
2013-03-14,0.47
2013-03-15,0.48
2013-03-18,0.46
2013-03-19,0.46
2013-03-20,0.44
2013-03-21,0.46
2013-03-22,0.44
2013-03-25,0.42
2013-03-26,0.37
2013-03-27,0.38
2013-03-28,0.38
2013-04-01,0.4
2013-04-02,0.39
2013-04-03,0.39
2013-04-04,0.4
2013-04-05,0.38
2013-04-08,0.39
2013-04-09,0.42
2013-04-10,0.42
2013-04-11,0.4
2013-04-12,0.39
2013-04-15,0.2
2013-04-16,0.17
