"Index","CCMMW.Close"
2011-07-07,17
2011-07-11,16
2011-07-14,15.5
2011-07-20,17
2011-07-21,17.89
2011-07-22,17.19
2011-07-25,17.01
2011-07-28,15
2011-07-29,14.5
2011-08-02,13.75
2011-08-03,12
2011-08-04,10
2011-08-05,8
2011-08-08,6
2011-08-09,6
2011-08-10,8
2011-08-11,9.25
2011-08-12,10.5
2011-08-15,11
2011-08-16,11
2011-08-18,9.5
2011-08-24,10.75
2011-08-25,10.75
2011-08-29,12.09
2011-08-30,12.49
2011-08-31,13.75
2011-09-06,12
2011-09-07,12.5
2011-09-12,11.25
2011-09-15,12.25
2011-09-19,12.5
2011-09-20,12.35
2011-09-28,13.5
2011-10-05,11
2011-10-11,12.5
2011-10-27,13.64
2011-10-28,12.65
2011-11-03,14
2011-11-04,14.5
2011-11-08,15
2011-11-10,14.35
2011-11-11,15.35
2011-11-14,15.27
2011-11-16,14.77
2011-11-30,15.25
2011-12-01,13.84
2011-12-02,14.55
2011-12-09,14.48
2011-12-12,14.45
2011-12-15,14.46
2011-12-16,15.5
2011-12-20,16
2011-12-21,16
2011-12-27,16.16
2011-12-29,17.5
2011-12-30,17.4
2012-01-04,17.4
2012-01-10,18.17
2012-01-11,17.25
2012-01-12,18.3
2012-01-13,17.6
2012-01-17,17.4
2012-01-20,17.5
2012-01-26,18
2012-01-27,17.95
2012-01-31,17.5
2012-02-01,17.7
2012-02-02,17.5
2012-02-06,17.32
2012-02-09,17.5
2012-02-13,17.89
2012-02-15,20
2012-02-17,20.1
2012-02-22,20.4
2012-02-23,21
2012-02-27,21.53
2012-02-28,21.37
2012-03-02,21
2012-03-13,20.79
2012-03-16,20.58
2012-03-22,22
2012-03-29,20.51
2012-03-30,21
2012-04-03,20.65
2012-04-05,18.21
2012-04-25,17.75
2012-04-27,18.12
2012-04-30,18.7
2012-05-01,18.51
2012-05-02,20
2012-05-03,20.77
2012-05-04,20
2012-05-09,24.1
2012-05-14,23.1
2012-05-16,22.99
2012-05-22,20.57
2012-05-25,20.06
2012-05-30,20.12
2012-06-04,19.1
2012-06-06,19.48
2012-06-07,22.16
2012-06-11,20.59
2012-06-13,22.08
2012-06-18,23.85
2012-06-19,25
2012-06-20,25.22
2012-06-21,24.49
2012-06-22,23.07
2012-06-26,23.55
2012-06-27,24.5
2012-06-28,24.8
2012-06-29,26.5
2012-07-03,27.8
2012-07-05,27.93
2012-07-19,29
2012-07-20,29.25
2012-07-26,30
2012-07-27,30.6
2012-07-31,32.5
2012-08-06,32.51
2012-08-09,30.9
2012-08-10,32.5
2012-08-14,33.61
2012-08-15,34
2012-08-22,31.4
2012-08-29,30.79
2012-08-31,32.85
2012-09-04,32.33
2012-09-05,33
2012-09-07,32.25
2012-09-10,33
2012-09-11,33.5
2012-09-12,35
2012-09-13,36.05
2012-09-14,38
2012-09-18,34.07
2012-09-19,34.67
2012-09-20,34.18
2012-09-21,34.4
2012-09-24,30.49
2012-09-25,30
2012-09-26,29.47
2012-09-27,30.25
2012-09-28,29.9
2012-10-01,30
2012-10-03,31.14
2012-10-04,32.29
2012-10-10,31
2012-10-11,31
2012-10-15,31.5
2012-10-18,33
2012-10-22,33
2012-10-31,32
2012-11-02,30.85
2012-11-05,26.28
2012-11-06,26.65
2012-11-07,24.75
2012-11-08,24.75
2012-11-14,24
2012-11-16,25
2012-11-19,25
2012-11-20,26.5
2012-12-04,26
2012-12-06,25.5
2012-12-12,25.05
2012-12-18,28.56
2012-12-19,28.2
2012-12-27,28.12
2012-12-31,30.56
2013-01-02,33
2013-01-03,32.75
2013-01-08,31.79
2013-01-09,33.5
2013-01-10,34
2013-01-22,33.04
2013-01-24,33.6
2013-01-28,35.5
2013-01-31,33.75
2013-02-05,36.25
2013-02-06,35
2013-02-07,36.7
2013-02-08,36.15
2013-02-13,35.25
2013-02-19,33.9
2013-02-20,33.84
2013-02-21,33.6
2013-02-22,38.97
2013-02-25,39.1
2013-02-26,40.48
2013-02-27,42
2013-02-28,41.25
2013-03-01,40.75
2013-03-04,40.24
2013-03-06,44.05
2013-03-07,43.95
2013-03-12,43.75
2013-03-13,44.1
2013-03-15,44.3
2013-03-18,52.05
2013-03-19,53.5
2013-03-20,60
2013-03-25,57.1
2013-03-27,59.25
2013-03-28,58.75
2013-04-01,57.75
2013-04-02,58.2
2013-04-03,58
2013-04-04,58.89
2013-04-05,58.9
2013-04-10,57.82
2013-04-11,57.8
2013-04-17,58.3
2013-04-18,56.19
2013-04-23,59.54
2013-04-24,57.49
2013-04-25,56.05
2013-04-26,56.85
2013-04-29,56.3
2013-04-30,55.5
2013-05-01,55.5
2013-05-02,57
2013-05-06,59.6
2013-05-07,64.01
2013-05-08,63.7
2013-05-10,65.25
2013-05-14,67.86
2013-05-15,67.8
2013-05-16,67.51
2013-05-17,68.25
2013-05-20,67
2013-05-21,68.35
2013-05-22,68.59
2013-05-23,67.69
2013-05-24,67.5
2013-05-28,69.25
2013-05-29,68.25
2013-06-03,66
2013-06-04,68
2013-06-05,69.25
2013-06-07,68.5
2013-06-10,69
2013-06-11,66.25
2013-06-20,68.2
2013-06-24,72
2013-06-25,73
2013-06-26,74
2013-06-27,78
2013-06-28,80
2013-07-01,78.5
2013-07-03,82
2013-07-05,81.75
2013-07-08,83.9
2013-07-09,81.5
2013-07-10,81.09
2013-07-11,80.42
2013-07-19,82.69
2013-08-02,87.44
2013-08-05,87
2013-08-15,76.15
2013-08-28,77
2013-08-29,76.97
2013-09-04,78.8
2013-09-09,81
2013-09-10,80.5
2013-09-11,82.25
2013-09-16,84.25
2013-09-18,86.95
2013-09-19,91.25
2013-09-24,88.74
2013-09-26,90.25
2013-09-27,89
2013-10-09,86
2013-10-10,90
2013-10-14,94
2013-10-23,91.25
2013-10-30,91.1
2013-11-05,88.41
2013-11-19,81.93
2013-11-21,82.2
2013-11-22,88.53
2013-11-26,90.99
2013-12-02,88.12
2013-12-03,83.61
2013-12-04,83.12
2013-12-13,88.64
2013-12-17,86.99
2013-12-20,85.32
2013-12-24,87.25
2014-01-02,91.75
2014-01-07,93
2014-01-14,90
2014-01-15,91
2014-01-23,88.44
2014-01-24,87.44
2014-01-29,93.1
2014-02-13,85.94
2014-02-14,83.75
2014-02-18,87
2014-02-21,81.93
2014-02-25,77.59
2014-04-07,75.59
2014-04-11,74.88
2014-04-14,73.39
2014-04-21,80
2014-04-23,82.45
2014-04-28,94.39
2014-04-29,91
2014-04-30,90.64
2014-05-06,94
2014-05-13,91
2014-05-16,92.43
2014-05-28,98
2014-06-02,100.38
2014-06-03,102.53
2014-06-04,102.79
2014-06-19,104.32
2014-06-20,105.27
2014-06-23,107.53
2014-06-24,107.01
2014-06-27,108.49
2014-07-01,115.63
2014-07-23,118.07
2014-07-29,121.19
2014-07-31,109.67
2014-08-01,106.43
2014-08-04,110.27
2014-08-05,109
2014-08-07,107.69
2014-08-27,105
2014-09-08,113.24
2014-09-11,112.15
2014-09-12,111.8
2014-09-16,115
2014-09-19,114.35
2014-09-23,110
2014-09-24,107.4
2014-09-29,109
2014-09-30,105
2014-10-01,104.56
2014-10-02,102.14
2014-10-03,104.2
2014-10-08,108.47
2014-10-09,106.89
2014-10-10,101.93
2014-10-13,100.98
2014-10-14,98.78
2014-10-15,95.08
2014-10-16,92.55
2014-10-17,97.5
2014-10-20,99.97
2014-10-22,105.71
2014-10-23,108.18
2014-10-29,109.41
2014-10-31,109
2014-11-03,114
2014-11-07,109.54
2014-11-10,100.33
2014-11-11,97.79
2014-11-13,108.48
2014-11-18,108.84
2014-11-21,115.64
2014-11-24,115.22
2014-11-25,121.51
