"Index","ATMI.Close"
2009-03-18,15.19
2009-03-19,14.59
2009-03-20,14.29
2009-03-23,15.79
2009-03-24,15.36
2009-03-25,16.18
2009-03-26,16.58
2009-03-27,16.16
2009-03-30,15.44
2009-03-31,15.43
2009-04-01,16.37
2009-04-02,17.99
2009-04-03,17.53
2009-04-06,16.74
2009-04-07,16.26
2009-04-08,16.53
2009-04-09,18.44
2009-04-13,18.38
2009-04-14,18.01
2009-04-15,17.01
2009-04-16,17.44
2009-04-17,17.36
2009-04-20,17.86
2009-04-21,17.95
2009-04-22,15.35
2009-04-23,16.02
2009-04-24,15.01
2009-04-27,14.39
2009-04-28,14.63
2009-04-29,15.86
2009-04-30,15.79
2009-05-01,15.53
2009-05-04,17.11
2009-05-05,16.81
2009-05-06,16.66
2009-05-07,15.52
2009-05-08,15.74
2009-05-11,15.31
2009-05-12,14.77
2009-05-13,13.94
2009-05-14,14.68
2009-05-15,14.46
2009-05-18,15.19
2009-05-19,15.47
2009-05-20,15.33
2009-05-21,14.88
2009-05-22,15.29
2009-05-26,16.05
2009-05-27,15.65
2009-05-28,15.3
2009-05-29,16.23
2009-06-01,17.77
2009-06-02,18.07
2009-06-03,17.35
2009-06-04,17.6
2009-06-05,16.32
2009-06-08,16.41
2009-06-09,16.68
2009-06-10,16.47
2009-06-11,16.24
2009-06-12,16.06
2009-06-15,15.64
2009-06-16,15.36
2009-06-17,15.51
2009-06-18,15.62
2009-06-19,15.5
2009-06-22,15.14
2009-06-23,14.89
2009-06-24,15.16
2009-06-25,15.74
2009-06-26,15.83
2009-06-29,15.75
2009-06-30,15.53
2009-07-01,16.31
2009-07-02,15.68
2009-07-06,15.65
2009-07-07,15.5
2009-07-08,15.11
2009-07-09,15.41
2009-07-10,15.77
2009-07-13,16.41
2009-07-14,16.65
2009-07-15,18
2009-07-16,17.99
2009-07-17,17.94
2009-07-20,18.1
2009-07-21,18.03
2009-07-22,19.38
2009-07-23,19.75
2009-07-24,18.86
2009-07-27,18.9
2009-07-28,18.94
2009-07-29,18.73
2009-07-30,18.56
2009-07-31,18.19
2009-08-03,17.92
2009-08-04,17.57
2009-08-05,17.22
2009-08-06,16.75
2009-08-07,16.66
2009-08-10,16.81
2009-08-11,16.83
2009-08-12,17.06
2009-08-13,17.54
2009-08-14,17.27
2009-08-17,16.53
2009-08-18,16.84
2009-08-19,16.88
2009-08-20,16.62
2009-08-21,17.29
2009-08-24,17.07
2009-08-25,16.83
2009-08-26,16.84
2009-08-27,16.76
2009-08-28,17.12
2009-08-31,16.99
2009-09-01,17.02
2009-09-02,17.16
