"Index","CDCO.Close"
2009-01-16,7.4
2009-01-20,6.76
2009-01-21,6.8
2009-01-22,7.25
2009-01-23,7.25
2009-01-26,7.12
2009-01-27,6.8
2009-01-29,7.65
2009-01-30,7.4
2009-02-03,6.7
2009-02-09,7.35
2009-02-10,7
2009-02-11,7.25
2009-02-12,7.1
2009-02-13,7.25
2009-02-17,7.5
2009-02-18,7.5
2009-02-20,7.6
2009-02-23,7.25
2009-02-24,7.25
2009-02-26,7.47
2009-03-02,7.2
2009-03-03,7.01
2009-03-04,7
2009-03-06,7.18
2009-03-09,7
2009-03-10,7.19
2009-03-12,6.76
2009-03-13,7.2
2009-03-18,6.9
2009-03-19,7.1
2009-04-09,7
2009-04-15,6.95
2009-04-16,7.05
2009-04-23,6.51
2009-04-29,7.54
2009-05-01,7.25
2009-05-04,7.48
2009-05-06,6.91
2009-05-08,7.47
2009-05-11,7.48
2009-05-12,7.99
2009-05-13,7.21
2009-05-18,7.75
2009-05-19,8.25
2009-05-21,7.4
2009-05-22,7.4
2009-05-26,7.5
2009-05-27,7.4
2009-05-28,7.35
2009-05-29,7.35
2009-06-01,7.35
2009-06-04,7.4
2009-06-05,7.5
2009-06-08,7.4
2009-06-12,7.1
2009-06-15,7.1
2009-06-18,7.25
2009-06-19,7.5
2009-06-23,7.1
2009-06-25,7.35
2009-06-26,7.5
2009-07-01,7.4
2009-07-02,7.1
2009-07-06,7.1
2009-07-08,7
2009-07-09,7
2009-07-10,7.05
2009-07-15,7.49
2009-07-16,7.4
2009-07-17,7.49
2009-07-20,7.5
2009-07-21,7.18
2009-07-22,7.2
2009-07-24,7.3
2009-07-28,7.2
2009-08-05,7.3
2009-08-10,7.5
2009-08-11,7.5
2009-08-18,7.55
2009-08-19,7.99
2009-08-21,8.5
2009-08-27,7.99
2009-08-31,8
2009-09-03,7.55
2009-09-11,7.55
2009-09-15,7.55
2009-09-16,8.34
2009-09-18,8.25
2009-09-21,7.55
2009-09-23,8.25
2009-09-25,7.62
2009-09-28,7.67
2009-09-29,7.65
2009-09-30,8.24
2009-10-05,8.1
2009-10-07,8.08
2009-10-08,7.95
2009-10-14,8.35
2009-10-16,8.25
2009-10-21,8.5
2009-10-22,8.35
2009-10-23,8.35
2009-10-26,8
2009-10-27,8
2009-10-29,8
2009-10-30,8.49
2009-11-02,8
2009-11-03,9
2009-11-09,9.5
2009-11-11,10.5
2009-11-16,10.2
2009-11-17,10
2009-11-18,10
2009-11-19,9.99
2009-12-01,8.05
2009-12-02,9.98
2009-12-04,9
2009-12-09,10
2009-12-15,9
2009-12-18,9.9
2009-12-21,9
2009-12-22,9.74
2009-12-31,10
2010-01-06,9
2010-01-07,9
2010-01-12,9
2010-01-15,9
2010-01-20,8.11
2010-01-21,9
2010-01-27,8
2010-01-28,9
2010-02-02,8.75
2010-02-03,9
2010-02-05,8.35
2010-02-09,8.5
2010-02-10,9.88
2010-02-11,9.9
2010-02-12,8.5
2010-02-16,9
2010-02-17,8.5
2010-02-18,8.5
2010-02-22,9.5
2010-02-24,9.25
2010-03-01,9
2010-03-02,8.5
2010-03-03,8.75
2010-03-04,8.75
2010-03-05,8.75
2010-03-08,8.5
2010-03-09,8.75
2010-03-10,8.7
2010-03-11,8.75
2010-03-15,8.5
2010-03-17,8.5
2010-03-25,8.55
2010-03-29,8.55
2010-03-30,8.6
2010-04-05,8.6
2010-04-07,8.6
2010-04-14,9.2
2010-04-15,9.2
2010-04-16,9
2010-04-20,8.6
2010-04-21,8.6
2010-04-26,8.6
2010-04-27,8.6
2010-04-30,9.19
2010-05-03,9
2010-05-06,8.7
2010-05-10,8.7
2010-05-11,8.6
2010-05-12,8.75
2010-05-14,8.6
2010-05-19,8.6
2010-05-21,8.6
2010-05-28,9.49
2010-06-02,9.48
2010-06-07,8.76
2010-06-24,8.65
2010-06-30,8.97
2010-07-01,8.89
2010-07-30,8.6
2010-08-02,8.6
2010-08-03,8.6
2010-08-04,8.6
2010-08-10,8.5
2010-08-11,8.79
2010-08-30,9
2010-08-31,9
2010-09-02,9
2010-09-07,8
2010-09-08,8.75
2010-09-09,9
2010-09-10,9
2010-09-14,9
2010-09-15,9
2010-09-22,9
2010-09-24,8.5
2010-09-27,9
2010-10-01,8.5
2010-10-04,8.5
2010-10-13,8.5
2010-10-18,8.5
2010-10-21,9
2010-10-27,8.9
2010-10-29,8.89
2010-11-01,8.5
2010-11-02,8.5
2010-11-05,9
2010-11-08,9
2010-11-09,8.51
2010-11-10,8.5
2010-11-12,8.95
2010-11-17,8.75
2010-11-18,8.95
2010-11-19,9
2010-11-22,9.25
2010-12-03,9.25
2010-12-06,8.75
2010-12-07,8.75
2010-12-08,8.75
2010-12-28,8.75
2010-12-30,9
2011-01-04,8.55
2011-01-05,8.56
2011-01-07,8.6
2011-01-10,8.6
2011-01-12,8.6
2011-01-26,9
2011-01-27,8.61
2011-02-01,8.61
2011-02-07,8.65
2011-02-08,8.61
2011-02-09,8.75
2011-02-16,8.82
2011-02-18,8.65
2011-02-22,9.25
2011-02-23,8.65
2011-02-24,8.65
2011-02-25,9.43
2011-03-02,9.43
2011-03-09,8.65
2011-03-21,8.65
2011-03-22,8.65
2011-03-25,8.65
2011-03-28,8.95
2011-03-29,8.65
2011-03-30,8.95
2011-03-31,9.25
2011-04-01,8.65
2011-04-04,8
2011-04-05,9
2011-04-06,9
2011-04-07,9.5
2011-04-12,8.52
2011-04-13,8.52
2011-04-18,8.99
2011-04-19,9.15
2011-04-20,9
2011-04-25,5.5
2011-04-27,5.5
2011-04-29,5.75
2011-05-04,5.75
2011-05-05,5.7
2011-05-06,5.55
2011-05-09,5.55
2011-05-12,5.5
2011-05-16,5.5
2011-05-18,5.63
2011-05-19,5.76
2011-05-20,5.75
2011-05-27,5.75
2011-05-31,6
2011-06-03,6
2011-06-06,9
2011-06-07,7.49
2011-06-24,5.36
2011-06-28,5.55
2011-06-30,6.23
2011-07-01,6.74
2011-07-12,5.79
2011-07-19,5.85
2011-07-20,5.25
2011-07-25,5.2
2011-07-26,6.5
2011-07-28,6.5
2011-07-29,6.25
2011-08-03,5.2
2011-08-08,6.5
2011-08-09,5.5
2011-08-12,6.5
2011-08-15,7
2011-08-17,6.5
2011-08-18,6
2011-08-19,5.3
2011-08-22,6.14
2011-08-31,6.45
2011-09-01,5.5
2011-09-07,6.35
2011-09-14,5.25
2011-09-15,6.35
2011-09-26,6
2011-09-29,6.1
2011-10-03,5.21
2011-10-06,5.5
2011-10-10,5.22
2011-10-19,5.31
2011-10-20,5.95
2011-10-25,5.94
2011-10-26,5.5
2011-10-27,5.5
2011-10-28,5.5
2011-10-31,5.94
2011-11-01,5.78
2011-11-04,5.5
2011-11-15,5.5
2011-11-21,5.7
2011-11-23,5.5
2011-12-12,5.5
2011-12-27,5.5
2011-12-30,5.9
2012-01-05,5.5
2012-01-13,5.7
2012-01-24,5.35
2012-01-25,5.6
2012-01-26,5.35
2012-01-30,5.5
2012-02-08,5.55
2012-02-10,5.51
2012-02-15,5.2
2012-02-16,5.55
2012-02-17,5.5
2012-02-21,5.5
2012-02-23,5.5
2012-02-28,5.35
2012-02-29,5.29
2012-03-05,5
2012-03-12,5.25
2012-03-14,5.1
2012-03-15,5.25
