"Index","TCPC.Close"
2014-11-12,17.13
2014-11-13,17.12
2014-11-14,17.14
2014-11-17,17.11
2014-11-18,17.06
2014-11-19,17.07
2014-11-20,17.47
2014-11-21,16.75
2014-11-24,16.85
2014-11-25,17
2014-11-26,17.01
2014-11-28,17.06
2014-12-01,16.87
2014-12-02,16.86
2014-12-03,16.86
2014-12-04,16.5
2014-12-05,16.45
2014-12-08,16.21
2014-12-09,16.58
2014-12-10,16.23
2014-12-11,16.07
2014-12-12,15.89
2014-12-15,15.68
2014-12-16,15.48
2014-12-17,15.59
2014-12-18,16.47
2014-12-19,16.61
2014-12-22,16.29
2014-12-23,16.47
2014-12-24,16.24
2014-12-26,16.25
2014-12-29,16.2
2014-12-30,16.45
2014-12-31,16.78
2015-01-02,16.79
2015-01-05,16.8
2015-01-06,16.37
2015-01-07,16.06
2015-01-08,16.24
2015-01-09,16.17
2015-01-12,16.01
2015-01-13,15.95
