"Index","PCOM.Close"
2013-10-31,21.26
2013-11-01,20.86
2013-11-04,21.08
2013-11-05,21.44
2013-11-06,20.96
2013-11-07,20.59
2013-11-08,22.05
2013-11-11,23.26
2013-11-12,22.93
2013-11-13,23.31
2013-11-14,23.89
2013-11-15,24.03
2013-11-18,25.5
2013-11-19,25.03
2013-11-20,26.36
2013-11-21,26.84
2013-11-22,26.26
2013-11-25,26.11
2013-11-26,25.93
2013-11-27,26.49
2013-11-29,26.11
2013-12-02,25.87
2013-12-03,25.6
2013-12-04,24.94
2013-12-05,24.48
2013-12-06,23.7
2013-12-09,23.75
2013-12-10,23.53
2013-12-11,23.7
2013-12-12,24.24
2013-12-13,24.25
2013-12-16,24.06
2013-12-17,24.09
2013-12-18,24.36
2013-12-19,24.41
2013-12-20,24.61
2013-12-23,25.9
2013-12-24,25.74
2013-12-26,26.03
2013-12-27,25.62
2013-12-30,25.65
2013-12-31,25.41
2014-01-02,25.41
2014-01-03,25.85
2014-01-06,26.7
2014-01-07,26.82
2014-01-08,27.52
2014-01-09,27.59
2014-01-10,27.77
2014-01-13,26.54
2014-01-14,27.08
2014-01-15,27.19
2014-01-16,27.44
2014-01-17,27.67
2014-01-21,26.78
2014-01-22,26.78
2014-01-23,27.03
2014-01-24,25.76
2014-01-27,24.47
2014-01-28,24.55
2014-01-29,23.72
2014-01-30,24.25
2014-01-31,24.24
2014-02-03,24.2
2014-02-04,24.26
2014-02-05,24.58
2014-02-06,25.08
2014-02-07,25.9
2014-02-10,26.02
2014-02-11,25.84
2014-02-12,25.14
2014-02-13,25.41
2014-02-14,25.55
2014-02-18,30.04
2014-02-19,30.64
2014-02-20,31.79
2014-02-21,30.87
2014-02-24,30.04
2014-02-25,29.49
2014-02-26,29.62
2014-02-27,29.52
2014-02-28,29.63
2014-03-03,29.55
2014-03-04,29.52
2014-03-05,29.5
2014-03-06,29.24
2014-03-07,28.08
2014-03-10,28.19
2014-03-11,27.14
2014-03-12,27.25
2014-03-13,27.15
2014-03-14,28.11
2014-03-17,27.88
2014-03-18,28.16
2014-03-19,27.51
2014-03-20,27.25
2014-03-21,26.26
2014-03-24,25.74
2014-03-25,25.84
2014-03-26,25.25
2014-03-27,26.02
2014-03-28,26.35
2014-03-31,25.59
2014-04-01,26.28
2014-04-02,26.78
2014-04-03,26.88
2014-04-04,26.12
2014-04-07,24.83
2014-04-08,24.86
2014-04-09,25.2
2014-04-10,24.69
2014-04-11,23.51
2014-04-14,23.13
2014-04-15,23.54
2014-04-16,23.75
2014-04-17,23.6
2014-04-21,23.09
2014-04-22,24.15
2014-04-23,23.89
