"Index","CM.Close"
2011-01-05,0.00077
2011-01-06,-0.00888
2011-01-07,0.00709
2011-01-10,-0.00644
2011-01-11,0.00515
2011-01-12,0.00781
2011-01-13,-0.00948
2011-01-14,0.01875
2011-01-18,-0.01566
2011-01-19,-0.01344
2011-01-20,-0.00496
2011-01-21,-0.00577
2011-01-24,0.00276
2011-01-25,0.00458
2011-01-26,-0.0017
2011-01-27,-0.00052
2011-01-28,-0.0096
2011-01-31,0.00684
2011-02-01,0.01884
2011-02-02,-0.00026
2011-02-03,0.0077
2011-02-04,0.00764
2011-02-07,0.00279
2011-02-08,0.0019
2011-02-09,-0.00076
2011-02-10,0.01355
2011-02-11,0.00782
2011-02-14,0.00518
2011-02-15,0.00098
2011-02-16,0.01379
2011-02-17,0.01181
2011-02-18,-0.00697
2011-02-22,-0.0147
2011-02-23,-0.01306
2011-02-24,0.03796
2011-02-25,0.00286
2011-02-28,0.00924
2011-03-01,-0.00698
2011-03-02,0.0071
2011-03-03,0.00189
2011-03-04,0.00176
2011-03-07,-0.00921
2011-03-08,0.01226
2011-03-09,-0.00129
2011-03-10,-0.01406
2011-03-11,0.00487
2011-03-14,0.00166
2011-03-15,-0.01885
2011-03-16,-0.01383
2011-03-17,0.00863
2011-03-18,0.00904
2011-03-21,0.02172
2011-03-22,0.01016
2011-03-23,0.01236
2011-03-24,-0.01959
2011-03-25,-0.00176
2011-03-28,0.0048
2011-03-29,0.00617
2011-03-30,0.0037
2011-03-31,-0.00197
2011-04-01,0.01904
2011-04-04,-0.00319
2011-04-05,0.00216
2011-04-06,0.00318
2011-04-07,-0.00819
2011-04-08,-0.00023
2011-04-11,-0.00252
2011-04-12,-0.00967
2011-04-13,0.00853
2011-04-14,-0.00069
2011-04-15,-0.01329
2011-04-18,-0.00665
2011-04-19,0.0014
2011-04-20,0.00245
2011-04-21,0.00163
2011-04-25,-0.00748
2011-04-26,-0.00059
2011-04-27,-0.00059
2011-04-28,-0.00118
2011-04-29,0.01645
2011-05-02,-0.00127
2011-05-03,-0.0092
2011-05-04,-0.01093
2011-05-05,-0.00795
2011-05-06,-0.00203
2011-05-09,0.00939
2011-05-10,0.01794
2011-05-11,-0.00922
2011-05-12,0.00293
2011-05-13,-0.00469
2011-05-16,0.00023
2011-05-17,0.00865
2011-05-18,0.00696
2011-05-19,0.00714
2011-05-20,-0.00426
2011-05-23,-0.0123
2011-05-24,0.00163
2011-05-25,0.00384
2011-05-26,-0.03773
2011-05-27,-0.00787
2011-05-31,0.00775
2011-06-01,-0.04034
2011-06-02,0.00501
2011-06-03,5e-04
2011-06-06,-0.01649
2011-06-07,0.00178
2011-06-08,-0.00725
2011-06-09,0.01054
2011-06-10,-0.00735
2011-06-13,-0.00229
2011-06-14,0.01367
2011-06-15,-0.01482
2011-06-16,-0.00537
2011-06-17,0.00792
2011-06-20,-0.00242
2011-06-21,0.01696
2011-06-22,0.00551
2011-06-23,-0.0094
2011-06-24,-0.02629
2011-06-27,0.00271
2011-06-28,0.00052
2011-06-29,0.00296
2011-06-30,0.0148
2011-07-01,0.01033
2011-07-05,-0.01515
2011-07-06,-0.00102
2011-07-07,0.00875
2011-07-08,-0.00608
2011-07-11,-0.02196
2011-07-12,0.00233
2011-07-13,0.00941
2011-07-14,-0.00347
2011-07-15,0.00129
2011-07-18,-0.02106
2011-07-19,0.01577
2011-07-20,0.00786
2011-07-21,0.01186
2011-07-22,-0.00738
2011-07-25,0.00115
2011-07-26,-0.00204
2011-07-27,-0.01962
2011-07-28,0.00663
2011-07-29,-0.01277
2011-08-01,-0.00105
2011-08-02,-0.0254
2011-08-03,0.00738
2011-08-04,-0.02765
2011-08-05,-0.01621
2011-08-08,-0.04792
2011-08-09,0.0703
2011-08-10,-0.02461
2011-08-11,0.02612
2011-08-12,0.00109
2011-08-15,0.01071
2011-08-16,-0.00595
2011-08-17,0.01387
2011-08-18,-0.03248
2011-08-19,-0.03172
2011-08-22,-0.01061
2011-08-23,0.0444
2011-08-24,0.00824
2011-08-25,-0.00178
2011-08-26,-0.00563
2011-08-29,0.0149
2011-08-30,0.01361
2011-08-31,0.04195
2011-09-01,0.00103
2011-09-02,-0.00941
2011-09-06,-0.01447
2011-09-07,0.01874
2011-09-08,-0.00621
2011-09-09,-0.02522
2011-09-12,-0.0165
2011-09-13,0.01583
2011-09-14,0.00518
2011-09-15,0.02252
2011-09-16,0.00684
2011-09-19,-0.02079
2011-09-20,-0.00408
2011-09-21,-0.03419
2011-09-22,-0.06466
2011-09-23,0.00884
2011-09-26,0.00819
2011-09-27,0.01406
2011-09-28,-0.01135
2011-09-29,0.01163
2011-09-30,-0.01549
2011-10-03,-0.03172
2011-10-04,-0.00936
2011-10-05,0.04036
2011-10-06,0.01409
2011-10-07,0.00042
2011-10-10,0.02552
2011-10-11,0.00932
2011-10-12,0.01852
2011-10-13,-0.01593
2011-10-14,0.0115
2011-10-17,-0.01559
2011-10-18,0.01249
2011-10-19,-0.00718
2011-10-20,0.00312
2011-10-21,0.01065
2011-10-24,0.00521
2011-10-25,-0.02909
2011-10-26,0.00534
2011-10-27,0.02734
2011-10-28,0.0057
2011-10-31,-0.00318
2011-11-01,-0.04722
2011-11-02,0.01133
2011-11-03,0.01147
2011-11-04,-0.01216
2011-11-07,0.0011
2011-11-08,0.00425
2011-11-09,-0.0297
2011-11-10,-0.01076
2011-11-11,0.01301
2011-11-14,-0.00875
2011-11-15,-0.00726
