"Index","WBNK.Close"
2008-11-12,5.86
2008-11-13,5.86
2008-11-14,4.57
2008-11-17,5.86
2008-11-18,5.86
2008-11-19,5.76
2008-11-20,5.76
2008-11-21,5.75
2008-11-24,5.76
2008-11-25,4.5
2008-11-26,5.5
2008-11-28,5.64
2008-12-01,6
2008-12-02,5
2008-12-03,6.02
2008-12-04,5.9
2008-12-05,6.27
2008-12-08,5.98
2008-12-09,6
2008-12-10,5.52
2008-12-11,5.58
2008-12-12,5.55
2008-12-15,6
2008-12-16,5.36
2008-12-17,4.5
2008-12-18,4.76
2008-12-19,4.76
2008-12-22,6.05
2008-12-23,5.54
2008-12-24,5.84
2008-12-26,5.06
2008-12-29,5.4
2008-12-30,5.48
2008-12-31,5.01
2009-01-02,5.16
2009-01-05,5.56
2009-01-06,6.11
2009-01-07,6.25
2009-01-08,6.23
2009-01-09,5.51
2009-01-12,6.18
2009-01-13,5
2009-01-14,5.54
2009-01-15,5.48
2009-01-16,4.5
2009-01-20,4.5
2009-01-21,5.09
2009-01-22,5.5
2009-01-23,5.51
2009-01-26,5.6
2009-01-27,5.01
2009-01-28,4
2009-01-29,4.14
2009-01-30,4.11
2009-02-02,4.13
2009-02-03,4.13
2009-02-04,3.8
2009-02-05,4.04
2009-02-06,4
2009-02-09,3.76
2009-02-10,3.77
2009-02-11,3.54
2009-02-12,3.5
2009-02-13,3.7
2009-02-17,3.51
2009-02-18,3.5
2009-02-19,3.02
2009-02-20,3.48
2009-02-23,3.64
2009-02-24,3.63
2009-02-25,3.05
2009-02-26,3.41
2009-02-27,3.12
2009-03-02,3.2
2009-03-03,2.22
2009-03-04,2.29
2009-03-05,3.1
2009-03-06,2.9
2009-03-09,2.5
2009-03-10,3.94
2009-03-11,3.76
2009-03-12,4.05
2009-03-13,3.53
2009-03-16,5
2009-03-17,4.48
2009-03-18,4.29
2009-03-19,4.35
2009-03-20,3.85
2009-03-23,4.06
2009-03-24,3.98
2009-03-25,3.03
2009-03-26,4.14
2009-03-27,3.08
2009-03-30,3.45
2009-03-31,3.2
2009-04-01,2.92
2009-04-02,2.97
2009-04-03,2.6
2009-04-06,2.5
2009-04-07,3.23
2009-04-08,2.77
2009-04-09,2.9
2009-04-13,3.79
2009-04-14,2.75
2009-04-15,4.24
2009-04-16,3.92
2009-04-17,3.4
2009-04-20,3
2009-04-21,3.37
2009-04-22,3.26
2009-04-23,3.2
2009-04-24,3.2
2009-04-27,3.2
2009-04-28,2.81
2009-04-29,2.82
2009-04-30,3.01
2009-05-01,3.29
2009-05-04,3.5
2009-05-05,3.5
2009-05-06,3.93
2009-05-07,3.55
2009-05-08,3.85
2009-05-11,3.94
