"Index","ALTI.Close"
2009-11-30,0.85
2009-12-01,0.87
2009-12-02,0.84
2009-12-03,0.84
2009-12-04,0.82
2009-12-07,0.81
2009-12-08,0.83
2009-12-09,0.84
2009-12-10,0.82
2009-12-11,0.81
2009-12-14,0.81
2009-12-15,0.83
2009-12-16,0.83
2009-12-17,0.81
2009-12-18,0.85
2009-12-21,0.88
2009-12-22,0.82
2009-12-23,0.84
2009-12-24,0.86
2009-12-28,0.86
2009-12-29,0.95
2009-12-30,0.84
2009-12-31,0.88
2010-01-04,0.93
2010-01-05,0.96
2010-01-06,0.9
2010-01-07,0.9
2010-01-08,0.92
2010-01-11,0.92
2010-01-12,0.87
2010-01-13,0.9
2010-01-14,0.9
2010-01-15,0.87
2010-01-19,0.86
2010-01-20,0.88
2010-01-21,0.85
2010-01-22,0.82
2010-01-25,0.79
2010-01-26,0.79
2010-01-27,0.79
2010-01-28,0.78
2010-01-29,0.76
2010-02-01,0.78
2010-02-02,0.82
2010-02-03,0.8
2010-02-04,0.76
2010-02-05,0.79
2010-02-08,0.76
2010-02-09,0.75
2010-02-10,0.75
2010-02-11,0.74
2010-02-12,0.72
2010-02-16,0.71
2010-02-17,0.73
2010-02-18,0.74
2010-02-19,0.71
2010-02-22,0.72
2010-02-23,0.72
2010-02-24,0.72
2010-02-25,0.7
2010-02-26,0.73
2010-03-01,0.74
2010-03-02,0.73
2010-03-03,0.74
2010-03-04,0.74
2010-03-05,0.76
2010-03-08,0.78
2010-03-09,0.79
2010-03-10,0.8
2010-03-11,0.73
2010-03-12,0.78
2010-03-15,0.79
2010-03-16,0.79
2010-03-17,0.8
2010-03-18,0.78
2010-03-19,0.77
2010-03-22,0.73
2010-03-23,0.76
2010-03-24,0.73
2010-03-25,0.74
2010-03-26,0.75
2010-03-29,0.74
2010-03-30,0.72
2010-03-31,0.72
2010-04-01,0.74
2010-04-05,0.76
2010-04-06,0.75
2010-04-07,0.76
2010-04-08,0.75
2010-04-09,0.73
2010-04-12,0.75
2010-04-13,0.7
2010-04-14,0.71
2010-04-15,0.71
2010-04-16,0.71
2010-04-19,0.69
2010-04-20,0.68
2010-04-21,0.62
2010-04-22,0.64
2010-04-23,0.64
2010-04-26,0.64
2010-04-27,0.64
2010-04-28,0.59
2010-04-29,0.6
2010-04-30,0.58
2010-05-03,0.58
2010-05-04,0.67
2010-05-05,0.66
2010-05-06,0.63
2010-05-07,0.65
2010-05-10,0.61
2010-05-11,0.58
2010-05-12,0.57
2010-05-13,0.6
2010-05-14,0.59
2010-05-17,0.56
2010-05-18,0.52
2010-05-19,0.52
2010-05-20,0.52
2010-05-21,0.53
2010-05-24,0.53
2010-05-25,0.52
2010-05-26,0.52
2010-05-27,0.51
2010-05-28,0.52
2010-06-01,0.52
2010-06-02,0.54
2010-06-03,0.53
2010-06-04,0.51
2010-06-07,0.47
2010-06-08,0.45
2010-06-09,0.42
2010-06-10,0.4
2010-06-11,0.42
2010-06-14,0.46
2010-06-15,0.46
2010-06-16,0.43
2010-06-17,0.44
2010-06-18,0.46
2010-06-21,0.45
2010-06-22,0.42
2010-06-23,0.44
2010-06-24,0.4
2010-06-25,0.47
2010-06-28,0.41
2010-06-29,0.3
2010-06-30,0.32
2010-07-01,0.36
2010-07-02,0.39
2010-07-06,0.37
2010-07-07,0.38
2010-07-08,0.39
2010-07-09,0.39
2010-07-12,0.39
2010-07-13,0.38
2010-07-14,0.39
2010-07-15,0.38
