"Index","SAEB.Close"
2013-08-09,0.5
2013-08-12,0.46
2013-08-16,0.5
2013-08-19,0.49
2013-08-20,0.46
2013-08-21,0.46
2013-08-28,0.5
2013-08-29,0.48
2013-08-30,0.46
2013-09-05,0.46
2013-09-06,0.46
2013-09-09,0.48
2013-09-10,0.48
2013-09-11,0.42
2013-09-13,0.47
2013-09-23,0.44
2013-09-25,0.44
2013-10-01,0.43
2013-10-07,0.48
2013-10-09,0.46
2013-10-10,0.49
2013-10-14,0.44
2013-10-16,0.44
2013-10-23,0.47
2013-10-25,0.47
2013-10-28,0.46
2013-10-29,0.47
2013-10-31,0.46
2013-11-05,0.45
2013-11-06,0.46
2013-11-13,0.41
2013-11-15,0.45
2013-11-19,0.45
2013-11-20,0.45
2013-11-21,0.42
