"Index","ASTE.Close"
2010-12-23,33.16
2010-12-27,33.36
2010-12-28,32.99
2010-12-29,33.07
2010-12-30,32.95
2010-12-31,32.41
2011-01-03,35.25
2011-01-04,34.29
2011-01-05,34.05
2011-01-06,32.89
2011-01-07,32.1
2011-01-10,32.85
2011-01-11,32.75
2011-01-12,33.1
2011-01-13,32.89
2011-01-14,32.67
2011-01-18,32.41
2011-01-19,31.91
2011-01-20,31.43
2011-01-21,31.54
2011-01-24,30.76
2011-01-25,31.01
2011-01-26,31.71
2011-01-27,31.5
2011-01-28,29.82
2011-01-31,30.1
2011-02-01,31.78
2011-02-02,32.31
2011-02-03,31.94
2011-02-04,31.58
2011-02-07,31.9
2011-02-08,31.85
2011-02-09,31.56
2011-02-10,31.81
2011-02-11,32.14
2011-02-14,33.08
2011-02-15,33.1
2011-02-16,34.24
2011-02-17,35.09
2011-02-18,34.82
2011-02-22,35.17
2011-02-23,33.76
2011-02-24,33.7
2011-02-25,33.82
2011-02-28,34.33
2011-03-01,33.42
2011-03-02,33.88
2011-03-03,34.55
2011-03-04,34.09
2011-03-07,33.75
2011-03-08,34.75
2011-03-09,34.89
2011-03-10,33.88
2011-03-11,33.53
2011-03-14,33.48
2011-03-15,33.11
2011-03-16,32.92
2011-03-17,33.65
2011-03-18,34.33
2011-03-21,35.25
2011-03-22,34.92
2011-03-23,35
2011-03-24,35.23
2011-03-25,35.58
2011-03-28,35.33
2011-03-29,35.98
2011-03-30,36.57
2011-03-31,37.29
2011-04-01,37.86
2011-04-04,37.91
2011-04-05,37.91
2011-04-06,38.49
2011-04-07,38.26
2011-04-08,37.72
2011-04-11,36.79
2011-04-12,36.1
2011-04-13,36.72
2011-04-14,36.88
2011-04-15,37.07
2011-04-18,36.35
2011-04-19,36.86
2011-04-20,37.95
2011-04-21,39.04
2011-04-25,37.96
2011-04-26,38.29
2011-04-27,38.13
2011-04-28,38.08
2011-04-29,38.78
2011-05-02,38.03
2011-05-03,37.83
2011-05-04,36.8
2011-05-05,36.52
2011-05-06,36.91
2011-05-09,37.41
2011-05-10,38.24
2011-05-11,37.15
2011-05-12,37.13
2011-05-13,36.76
2011-05-16,35.66
2011-05-17,35.03
2011-05-18,36.08
2011-05-19,36.04
2011-05-20,35.85
2011-05-23,35.15
2011-05-24,35.02
2011-05-25,35.74
2011-05-26,36.11
2011-05-27,36.51
