"Index","JLA.Close"
2011-11-25,0.00539
2011-11-28,0.01422
2011-11-29,0
2011-11-30,0.02183
2011-12-01,0.00173
2011-12-02,-0.00086
2011-12-05,0.00345
2011-12-06,0.00086
2011-12-07,0.00172
2011-12-08,-0.01905
2011-12-09,0.01303
2011-12-12,-0.0139
2011-12-13,-0.01498
2011-12-14,-0.00178
2011-12-15,-0.00178
2011-12-16,0.00267
2011-12-19,-0.00535
2011-12-20,0.01684
2011-12-21,-0.00529
2011-12-22,0.00704
2011-12-23,0.00699
2011-12-27,-0.00262
2011-12-28,-0.00701
2011-12-29,0.00701
2011-12-30,0.00087
2012-01-03,0.00348
2012-01-04,-0.00174
2012-01-05,0.00435
2012-01-06,0.01035
2012-01-09,0.00428
2012-01-10,0.0102
2012-01-11,-0.00764
2012-01-12,-0.00256
2012-01-13,-0.00428
2012-01-17,0.00086
2012-01-18,0.01024
2012-01-19,0.00761
2012-01-20,0.00252
2012-01-23,0.00503
2012-01-24,-0.00167
2012-01-25,0.01
2012-01-26,-0.00415
2012-01-27,0.00415
2012-01-30,-0.00499
2012-01-31,0.00582
2012-02-01,0.00578
2012-02-02,-0.00247
2012-02-03,-0.00083
2012-02-06,0.00412
2012-02-07,0.00738
2012-02-08,0.00163
2012-02-09,-0.00655
2012-02-10,-0.00494
2012-02-13,0.00658
2012-02-14,-0.00082
2012-02-15,-0.00164
2012-02-16,0.00328
2012-02-17,0.00245
2012-02-21,0.00082
2012-02-22,-0.00245
2012-02-23,0.01301
2012-02-24,-0.00324
2012-02-27,-0.00569
2012-02-28,0.00163
2012-02-29,-0.00326
2012-03-01,0.00732
2012-03-02,-0.0065
2012-03-05,-0.00901
2012-03-06,-0.00993
2012-03-07,0.01321
2012-03-08,0.00654
2012-03-09,-0.00082
2012-03-12,-0.00491
2012-03-13,-0.00823
2012-03-14,-0.00913
2012-03-15,0.00582
2012-03-16,-0.00083
2012-03-19,0.00249
2012-03-20,-0.00415
2012-03-21,-0.00083
2012-03-22,-0.0025
2012-03-23,0.00083
2012-03-26,0.00499
2012-03-27,0.00166
2012-03-28,-0.00498
2012-03-29,0
2012-03-30,0.00829
2012-04-02,0.00658
2012-04-03,-0.01154
2012-04-04,-0.00499
2012-04-05,-0.00083
2012-04-09,-0.00586
2012-04-10,-0.00842
2012-04-11,0.00759
2012-04-12,0.01086
2012-04-13,-0.00667
2012-04-16,-0.00167
2012-04-17,0.01083
2012-04-18,0.00248
2012-04-19,-0.00331
2012-04-20,0.00331
2012-04-23,-0.00414
2012-04-24,0.00497
2012-04-25,0.0074
2012-04-26,0.00246
2012-04-27,-0.00328
2012-04-30,-0.00246
2012-05-01,0.00328
2012-05-02,0
2012-05-03,-0.00575
2012-05-04,-0.00496
2012-05-07,0.00083
2012-05-08,-0.00498
2012-05-09,-0.00083
2012-05-10,0.00166
2012-05-11,0
2012-05-14,-0.01423
2012-05-15,0.00505
2012-05-16,-0.0042
2012-05-17,-0.00676
2012-05-18,-0.01195
2012-05-21,0.00599
2012-05-22,0.00595
2012-05-23,0
2012-05-24,0.01013
2012-05-25,0.00084
2012-05-29,0.01085
2012-05-30,-0.0075
2012-05-31,-0.00335
2012-06-01,-0.01607
2012-06-04,-0.01028
2012-06-05,0.0043
2012-06-06,0.01953
2012-06-07,0.00503
2012-06-08,0.00501
2012-06-11,-0.0025
2012-06-12,0.00748
2012-06-13,-0.02602
2012-06-14,0.0017
2012-06-15,0.00085
2012-06-18,-0.0017
2012-06-19,0.01182
2012-06-20,-0.00252
2012-06-21,-0.0093
2012-06-22,0.0093
2012-06-25,-0.00591
2012-06-26,0.00169
2012-06-27,0.00674
2012-06-28,-0.00589
2012-06-29,0.01509
2012-07-02,0.00663
2012-07-03,0.00741
2012-07-05,0
2012-07-06,-0.00246
2012-07-09,0
2012-07-10,-0.00577
2012-07-11,0
2012-07-12,-0.00581
2012-07-13,0.01404
2012-07-16,-0.01072
2012-07-17,0.00826
2012-07-18,0.00492
2012-07-19,0
2012-07-20,-0.00904
2012-07-23,0.00412
2012-07-24,0.00246
2012-07-25,0.00246
2012-07-26,0.00408
2012-07-27,0.00407
2012-07-30,-0.00162
2012-07-31,-0.00244
2012-08-01,-0.00163
2012-08-02,0
2012-08-03,0.017
2012-08-06,-0.00725
2012-08-07,0.00242
2012-08-08,-0.00242
2012-08-09,-0.00243
2012-08-10,-0.00162
2012-08-13,0.00243
2012-08-14,-0.00081
2012-08-15,0
2012-08-16,0.00404
2012-08-17,0.00242
2012-08-20,-0.00565
2012-08-21,0.00565
2012-08-22,-0.00484
2012-08-23,-0.00324
2012-08-24,0.00324
