"Index","NVG.Close"
2008-08-07,12.57
2008-08-08,12.63
2008-08-11,12.69
2008-08-12,12.7
2008-08-13,12.66
2008-08-14,12.71
2008-08-15,12.67
2008-08-18,12.7
2008-08-19,12.68
2008-08-20,12.73
2008-08-21,12.65
2008-08-22,12.61
2008-08-25,12.62
2008-08-26,12.63
2008-08-27,12.68
2008-08-28,12.6
2008-08-29,12.66
2008-09-02,12.61
2008-09-03,12.61
2008-09-04,12.65
2008-09-05,12.77
2008-09-08,12.85
2008-09-09,12.79
2008-09-10,12.84
2008-09-11,12.68
2008-09-12,12.6
2008-09-15,12.55
2008-09-16,12.54
2008-09-17,12.08
2008-09-18,11.57
2008-09-19,12.1
2008-09-22,11.77
2008-09-23,11.34
2008-09-24,11.42
2008-09-25,11.54
2008-09-26,11.3
2008-09-29,10.55
2008-09-30,10.75
2008-10-01,11.08
2008-10-02,11.17
2008-10-03,11.14
2008-10-06,10.3
2008-10-07,10.18
2008-10-08,9.74
2008-10-09,9.36
2008-10-10,8.35
2008-10-13,10.03
2008-10-14,10.63
2008-10-15,9.9
2008-10-16,9.77
2008-10-17,9.89
2008-10-20,10.4
2008-10-21,10.56
2008-10-22,10.8
2008-10-23,11.4
2008-10-24,11.45
2008-10-27,11.24
2008-10-28,11.15
2008-10-29,11.01
2008-10-30,11.05
2008-10-31,11.42
2008-11-03,11.5
2008-11-04,11.51
2008-11-05,11.5
2008-11-06,11.54
2008-11-07,11.62
2008-11-10,11.5
2008-11-11,11.28
2008-11-12,11.2
2008-11-13,11.38
2008-11-14,11.17
2008-11-17,11.06
2008-11-18,11
2008-11-19,10.51
2008-11-20,10.18
2008-11-21,9.97
2008-11-24,10.35
2008-11-25,10.4
2008-11-26,10.74
2008-11-28,11
2008-12-01,10.5
2008-12-02,10.27
2008-12-03,10.21
2008-12-04,10.13
2008-12-05,9.83
2008-12-08,10.17
2008-12-09,10
2008-12-10,9.95
2008-12-11,9.63
2008-12-12,9.45
2008-12-15,9.64
2008-12-16,9.9
2008-12-17,10.4
2008-12-18,10.63
2008-12-19,10.96
2008-12-22,11
2008-12-23,10.99
2008-12-24,10.83
2008-12-26,10.75
2008-12-29,10.85
2008-12-30,11.14
2008-12-31,11.46
2009-01-02,11.6
2009-01-05,11.87
2009-01-06,12.24
2009-01-07,12.12
2009-01-08,12.32
2009-01-09,12.55
2009-01-12,12.62
2009-01-13,12.5
2009-01-14,12
2009-01-15,12.24
2009-01-16,12.7
2009-01-20,12.19
2009-01-21,12.17
2009-01-22,12.09
2009-01-23,12.13
2009-01-26,12.48
2009-01-27,12.48
2009-01-28,12.67
2009-01-29,12.66
2009-01-30,12.52
2009-02-02,12.69
2009-02-03,12.7
2009-02-04,12.64
2009-02-05,12.68
2009-02-06,12.88
2009-02-09,12.77
2009-02-10,12.73
2009-02-11,12.67
2009-02-12,12.69
2009-02-13,12.63
2009-02-17,12.05
2009-02-18,11.99
2009-02-19,11.91
2009-02-20,11.61
2009-02-23,11.5
2009-02-24,12.12
2009-02-25,12.48
2009-02-26,12.46
2009-02-27,12.21
2009-03-02,12
2009-03-03,11.93
2009-03-04,11.77
2009-03-05,11.58
2009-03-06,11.72
2009-03-09,11.4
2009-03-10,11.7
2009-03-11,11.78
2009-03-12,12.02
2009-03-13,11.97
2009-03-16,12.09
2009-03-17,11.85
2009-03-18,12.02
2009-03-19,12.04
2009-03-20,12.1
2009-03-23,12.27
2009-03-24,12.22
2009-03-25,12.18
2009-03-26,12.32
2009-03-27,12.4
2009-03-30,12.22
2009-03-31,12.26
2009-04-01,12.25
2009-04-02,12.28
2009-04-03,12.29
2009-04-06,12.27
2009-04-07,12.4
2009-04-08,12.49
2009-04-09,12.41
2009-04-13,12.31
2009-04-14,12.4
2009-04-15,12.46
2009-04-16,12.45
2009-04-17,12.4
2009-04-20,12.32
2009-04-21,12.4
2009-04-22,12.46
2009-04-23,12.61
2009-04-24,12.61
2009-04-27,12.66
2009-04-28,12.67
2009-04-29,12.67
2009-04-30,12.69
2009-05-01,12.62
2009-05-04,12.69
2009-05-05,12.7
2009-05-06,12.77
2009-05-07,12.78
2009-05-08,12.84
2009-05-11,12.86
2009-05-12,12.91
2009-05-13,12.86
2009-05-14,12.93
2009-05-15,13.01
2009-05-18,13.01
2009-05-19,13.12
2009-05-20,13.08
2009-05-21,13.05
2009-05-22,13.05
2009-05-26,13.1
2009-05-27,13.13
2009-05-28,13.08
2009-05-29,13.07
2009-06-01,13.04
2009-06-02,12.96
2009-06-03,12.99
2009-06-04,13.05
2009-06-05,12.99
2009-06-08,12.95
