"Index","VIV.Close"
2011-08-09,0.03555
2011-08-10,-0.01487
2011-08-11,0.03059
2011-08-12,-0.00177
2011-08-15,0.05459
2011-08-16,-0.02796
2011-08-17,0.01986
2011-08-18,-0.02367
2011-08-19,0
2011-08-22,0.00104
2011-08-23,0.01821
2011-08-24,0.01117
2011-08-25,-0.02316
2011-08-26,0.01028
2011-08-29,0.05797
2011-08-30,0.00801
2011-08-31,0.01427
2011-09-01,-0.0408
2011-09-02,-0.00922
2011-09-06,-0.02174
2011-09-07,0.02241
2011-09-08,-0.00099
2011-09-09,-0.05058
2011-09-12,0.00901
2011-09-13,-0.00138
2011-09-14,0.02727
2011-09-15,-0.00573
2011-09-16,0.03064
2011-09-19,-0.03199
2011-09-20,-0.01329
2011-09-21,-0.03528
2011-09-22,-0.08491
2011-09-23,0.01231
2011-09-26,0.00115
2011-09-27,0.00837
2011-09-28,-0.00076
2011-09-29,0.00454
2011-09-30,-0.00227
2011-10-03,-0.02605
2011-10-04,-0.01014
2011-10-05,-0.00472
2011-10-06,0.06148
2011-10-07,-0.01982
2011-10-10,0.03745
2011-10-11,-0.02879
2011-10-12,0.0317
2011-10-13,-0.01499
2011-10-14,0.02653
2011-10-17,0
2011-10-18,0.00964
2011-10-19,0.00955
2011-10-20,-0.02566
2011-10-21,0.01966
2011-10-24,0.00881
2011-10-25,0.00455
2011-10-26,-0.0056
2011-10-27,-0.00705
2011-10-28,0.03715
2011-10-31,-0.01097
2011-11-01,-0.03542
2011-11-02,0.01453
2011-11-03,-0.006
2011-11-04,-0.0096
2011-11-07,-0.01803
2011-11-08,0.02622
2011-11-09,-0.00783
2011-11-10,-0.02753
2011-11-11,0.02467
2011-11-14,0.00322
2011-11-15,-0.00573
2011-11-16,-0.01047
2011-11-17,-0.02536
2011-11-18,-0.00822
2011-11-21,-0.01095
2011-11-22,0.00303
2011-11-23,-0.0284
2011-11-25,-0.00117
2011-11-28,0.01508
2011-11-29,-0.00231
2011-11-30,0.03701
2011-12-01,-0.0052
2011-12-02,0.00372
2011-12-05,0.03753
2011-12-06,-0.02133
2011-12-07,-0.02929
2011-12-08,-0.02053
2011-12-09,0.00613
2011-12-12,-0.00882
2011-12-13,-0.0089
2011-12-14,0.00967
2011-12-15,0.02094
2011-12-16,0.00975
2011-12-19,-0.0357
2011-12-20,0.04721
2011-12-21,0.00221
2011-12-22,0.00257
2011-12-23,0.00732
2011-12-27,0.03192
2011-12-28,-0.02466
2011-12-29,0.00649
2011-12-30,-0.01777
2012-01-03,0.03664
2012-01-04,-0.00318
2012-01-05,-0.01749
2012-01-06,-0.02738
2012-01-09,0.00811
2012-01-10,0.02716
2012-01-11,0.00143
2012-01-12,0.00605
2012-01-13,-0.00391
2012-01-17,0.0305
2012-01-18,0.02355
2012-01-19,-0.00338
2012-01-20,-0.01879
2012-01-23,-0.00866
2012-01-24,0.01141
2012-01-25,-0.00448
2012-01-26,-0.02873
2012-01-27,-0.00749
2012-01-30,-0.00755
2012-01-31,0.00468
2012-02-01,-0.00324
2012-02-02,-0.01196
2012-02-03,0
2012-02-06,0.00219
2012-02-07,0.00761
2012-02-08,-0.00108
2012-02-09,-0.0058
2012-02-10,0.00616
2012-02-13,0.01043
2012-02-14,0.00428
2012-02-15,0
2012-02-16,0.04048
2012-02-17,0.0183
2012-02-21,0.01632
2012-02-22,-0.00066
2012-02-23,-0.01801
2012-02-24,-0.00135
2012-02-27,-0.00135
2012-02-28,0.02137
2012-02-29,-0.02814
2012-03-01,0.01149
2012-03-02,0.00134
2012-03-05,-0.00741
2012-03-06,-0.03089
2012-03-07,0.0183
2012-03-08,0.02734
2012-03-09,0.01619
2012-03-12,-0.01652
2012-03-13,0.02468
2012-03-14,-0.01276
2012-03-15,-0.00793
2012-03-16,0.01482
2012-03-19,0.00879
2012-03-20,-0.01305
2012-03-21,0.00328
2012-03-22,-0.02016
2012-03-23,-0.00167
2012-03-26,0.0264
2012-03-27,0.01037
2012-03-28,-0.0258
2012-03-29,0.01478
2012-03-30,-0.00163
2012-04-02,0.00618
2012-04-03,-0.00586
2012-04-04,-0.00721
2012-04-05,0.01436
2012-04-09,0.0116
2012-04-10,-0.0181
2012-04-11,0.00844
2012-04-12,-0.02456
2012-04-13,-0.00799
2012-04-16,-0.00839
2012-04-17,-0.02871
2012-04-18,-0.00104
2012-04-19,-0.01293
2012-04-20,0.01397
2012-04-23,-0.01116
2012-04-24,-0.00668
2012-04-25,0.00176
2012-04-26,-0.01098
2012-04-27,0.0131
2012-04-30,0.00105
2012-05-01,0.00491
2012-05-02,0.00939
2012-05-03,-0.01289
2012-05-04,-0.00351
2012-05-07,0.00351
2012-05-08,-0.01841
2012-05-09,-0.00322
2012-05-10,-0.01226
