"Index","FLEX.Close"
2009-08-18,5.59
2009-08-19,5.61
2009-08-20,5.64
2009-08-21,5.83
2009-08-24,5.64
2009-08-25,5.7
2009-08-26,5.72
2009-08-27,5.78
2009-08-28,6.17
2009-08-31,5.93
2009-09-01,5.68
2009-09-02,5.64
2009-09-03,5.91
2009-09-04,6.06
2009-09-08,5.97
2009-09-09,6.23
2009-09-10,6.57
2009-09-11,6.58
2009-09-14,6.63
2009-09-15,6.92
2009-09-16,7.46
2009-09-17,7.29
2009-09-18,7.37
2009-09-21,7.32
2009-09-22,7.52
2009-09-23,7.41
2009-09-24,7.1
2009-09-25,6.92
2009-09-28,7.18
2009-09-29,7.19
2009-09-30,7.47
2009-10-01,6.97
2009-10-02,6.94
2009-10-05,7.1
2009-10-06,7.26
2009-10-07,7.27
2009-10-08,7.39
2009-10-09,7.49
2009-10-12,7.63
2009-10-13,7.64
2009-10-14,7.85
2009-10-15,7.84
2009-10-16,7.58
2009-10-19,7.76
2009-10-20,7.51
2009-10-21,7.47
2009-10-22,7.51
2009-10-23,7.24
2009-10-26,7.11
2009-10-27,6.73
2009-10-28,6.43
2009-10-29,6.75
2009-10-30,6.48
2009-11-02,6.44
2009-11-03,6.72
2009-11-04,6.73
2009-11-05,7.1
2009-11-06,6.94
2009-11-09,7.05
2009-11-10,7.15
2009-11-11,7.18
2009-11-12,7.12
2009-11-13,7.09
2009-11-16,7.31
2009-11-17,7.32
2009-11-18,7.35
2009-11-19,7.2
2009-11-20,7.17
2009-11-23,7.47
2009-11-24,7.3
2009-11-25,7.4
2009-11-27,7.14
2009-11-30,7.07
2009-12-01,7.38
2009-12-02,7.51
2009-12-03,7.28
2009-12-04,7.28
2009-12-07,7.3
2009-12-08,7.11
2009-12-09,7.26
2009-12-10,7.14
2009-12-11,7.06
2009-12-14,7.1
2009-12-15,7.09
2009-12-16,7.2
2009-12-17,7.07
2009-12-18,7.05
2009-12-21,7.3
2009-12-22,7.55
2009-12-23,7.41
2009-12-24,7.52
2009-12-28,7.47
2009-12-29,7.42
2009-12-30,7.4
2009-12-31,7.31
2010-01-04,7.36
2010-01-05,7.29
2010-01-06,7.27
2010-01-07,7.23
2010-01-08,7.26
2010-01-11,7.14
2010-01-12,7.04
2010-01-13,7.25
2010-01-14,7.22
2010-01-15,7.08
2010-01-19,7.26
2010-01-20,7.04
2010-01-21,7.11
2010-01-22,6.82
2010-01-25,6.91
2010-01-26,6.57
2010-01-27,7.1
2010-01-28,6.6
2010-01-29,6.34
2010-02-01,6.58
2010-02-02,6.83
2010-02-03,6.88
2010-02-04,6.6
2010-02-05,6.53
2010-02-08,6.48
2010-02-09,6.64
2010-02-10,6.71
2010-02-11,6.87
2010-02-12,6.79
2010-02-16,6.91
2010-02-17,7.04
2010-02-18,7.22
2010-02-19,7.27
2010-02-22,7.2
2010-02-23,7.04
2010-02-24,7.13
2010-02-25,6.96
2010-02-26,6.96
2010-03-01,7.16
2010-03-02,7.1
2010-03-03,7.15
2010-03-04,7.21
2010-03-05,7.28
2010-03-08,7.23
2010-03-09,7.22
2010-03-10,7.46
2010-03-11,7.44
2010-03-12,7.39
2010-03-15,7.44
2010-03-16,7.67
2010-03-17,7.74
2010-03-18,7.68
2010-03-19,7.75
2010-03-22,7.84
2010-03-23,8.23
2010-03-24,8.03
2010-03-25,7.91
2010-03-26,7.86
2010-03-29,7.95
2010-03-30,7.95
2010-03-31,7.84
2010-04-05,7.97
2010-04-06,7.94
2010-04-07,7.84
2010-04-08,7.91
2010-04-09,7.92
2010-04-12,8.11
2010-04-13,7.93
2010-04-14,8.14
2010-04-15,8.02
2010-04-16,7.92
2010-04-19,7.77
2010-04-20,7.87
2010-04-21,7.81
2010-04-22,8
2010-04-23,8.25
2010-04-26,8.12
2010-04-27,7.94
2010-04-28,7.91
2010-04-29,8.08
2010-04-30,7.74
2010-05-03,7.89
2010-05-04,7.49
2010-05-05,7.47
2010-05-06,7.1
2010-05-07,6.97
2010-05-10,7.25
2010-05-11,7.22
2010-05-12,7.35
2010-05-13,7.22
2010-05-14,6.95
2010-05-17,6.98
2010-05-18,6.79
2010-05-19,6.67
2010-05-20,6.36
2010-05-21,6.42
2010-05-24,6.43
2010-05-25,6.4
2010-05-26,6.4
2010-05-27,6.74
2010-05-28,6.56
2010-06-01,6.35
2010-06-02,6.53
2010-06-03,6.8
2010-06-04,6.38
2010-06-07,6.15
2010-06-08,6.32
2010-06-09,6.47
2010-06-10,6.61
2010-06-11,6.67
2010-06-14,6.63
2010-06-15,6.91
2010-06-16,6.73
2010-06-17,6.68
2010-06-18,6.72
2010-06-21,6.61
2010-06-22,6.34
2010-06-23,6.45
2010-06-24,6.28
2010-06-25,6.29
2010-06-28,6.17
2010-06-29,5.52
2010-06-30,5.6
2010-07-01,5.71
2010-07-02,5.68
2010-07-06,5.71
2010-07-07,5.88
2010-07-08,5.95
2010-07-09,6.07
2010-07-12,6.15
2010-07-13,6.52
2010-07-14,6.71
2010-07-15,6.66
2010-07-16,6.4
2010-07-19,6.58
2010-07-20,6.27
2010-07-21,6.19
2010-07-22,6.56
2010-07-23,6.25
2010-07-26,6.35
2010-07-27,6.31
2010-07-28,6.21
2010-07-29,6.21
2010-07-30,6.22
2010-08-02,6.3
2010-08-03,6.16
2010-08-04,6.08
2010-08-05,6.13
2010-08-06,6.17
2010-08-09,6.18
2010-08-10,5.85
2010-08-11,5.7
2010-08-12,5.32
2010-08-13,5.31
2010-08-16,5.18
2010-08-17,5.35
2010-08-18,5.52
2010-08-19,5.37
2010-08-20,5.35
2010-08-23,5.36
2010-08-24,5.06
2010-08-25,5.23
