"Index","AMOT.Close"
2010-01-27,2.66
2010-01-28,2.73
2010-01-29,2.7
2010-02-01,2.65
2010-02-02,2.6
2010-02-03,2.85
2010-02-04,2.81
2010-02-05,2.78
2010-02-08,2.78
2010-02-09,2.77
2010-02-10,2.64
2010-02-11,2.64
2010-02-12,2.64
2010-02-16,2.65
2010-02-17,2.84
2010-02-18,2.84
2010-02-19,2.84
2010-02-22,2.76
2010-02-23,2.8
2010-02-24,2.92
2010-02-25,3.13
2010-02-26,3.44
2010-03-01,3.24
2010-03-02,3.5
2010-03-03,3.5
2010-03-04,3.26
2010-03-05,3.26
2010-03-08,3.2
2010-03-09,3.46
2010-03-10,3.47
2010-03-11,3.3
2010-03-12,3.41
2010-03-15,3.43
2010-03-16,3.54
2010-03-17,3.33
2010-03-18,3.4
2010-03-19,3.41
2010-03-22,3.31
2010-03-23,3.63
2010-03-24,3.35
2010-03-25,3.5
2010-03-26,3.43
2010-03-29,3.37
2010-03-30,3.35
2010-03-31,3.6
2010-04-05,3.6
2010-04-06,4.03
2010-04-07,4.02
2010-04-08,4.02
2010-04-09,4.14
2010-04-12,4.07
2010-04-13,4.09
2010-04-14,4.1
2010-04-15,4.15
2010-04-16,4.1
2010-04-19,3.98
2010-04-20,4.12
2010-04-21,4.21
2010-04-22,4.98
2010-04-23,4.44
2010-04-26,4.68
2010-04-27,4.2
2010-04-28,4.49
2010-04-29,4.46
2010-04-30,4.03
2010-05-03,4.2
2010-05-04,3.81
2010-05-05,4.27
2010-05-06,4.1
2010-05-07,4.2
2010-05-10,4.12
2010-05-11,4.13
2010-05-12,4.05
2010-05-13,4.05
2010-05-14,4.55
2010-05-17,4.6
2010-05-18,4.44
2010-05-19,4.5
2010-05-20,4.51
2010-05-21,4.23
2010-05-24,4.31
2010-05-25,4.3
2010-05-26,4.22
2010-05-27,4.8
2010-05-28,4.71
2010-06-01,4.76
2010-06-02,4.72
2010-06-03,4.41
2010-06-04,4.79
2010-06-07,4.61
2010-06-08,4.4
2010-06-09,4.27
2010-06-10,4.09
2010-06-11,4.33
2010-06-14,4.3
2010-06-15,4.37
2010-06-16,4.36
2010-06-17,4.4
2010-06-18,4.19
2010-06-21,4.23
2010-06-22,4.36
2010-06-23,4.32
2010-06-24,4.5
2010-06-25,4.66
2010-06-28,4.64
2010-06-29,4.24
2010-06-30,4.5
2010-07-01,4.21
2010-07-02,4.14
2010-07-06,3.92
2010-07-07,4
2010-07-08,4
2010-07-09,4.14
2010-07-12,4.01
2010-07-13,4.03
2010-07-14,4.11
2010-07-15,4.07
2010-07-16,4.14
2010-07-19,4.15
2010-07-20,4.15
2010-07-21,4.15
2010-07-22,4.15
2010-07-23,4.5
2010-07-26,4.38
2010-07-27,4.3
2010-07-28,4.3
2010-07-29,4.3
2010-07-30,4.31
2010-08-02,4.16
2010-08-03,3.98
2010-08-04,4.31
2010-08-05,4.28
2010-08-06,4.3
2010-08-09,4.25
2010-08-10,4.29
2010-08-11,4.25
2010-08-12,4.5
2010-08-13,4.5
2010-08-16,4.14
2010-08-17,4.25
2010-08-18,4.21
2010-08-19,4.21
2010-08-20,4.33
2010-08-23,4.25
2010-08-24,4.22
2010-08-25,4.26
2010-08-26,4.21
2010-08-27,4.14
2010-08-30,4.14
2010-08-31,4.14
2010-09-01,4.14
2010-09-02,4.12
2010-09-03,4.35
2010-09-07,4.2
2010-09-08,4.14
2010-09-09,4.36
2010-09-10,4.14
2010-09-13,4.28
2010-09-14,4.27
2010-09-15,4.09
2010-09-16,4.15
2010-09-17,4.42
2010-09-20,4.2
2010-09-21,4.35
2010-09-22,4.39
2010-09-23,4.38
2010-09-24,4.25
2010-09-27,4.26
2010-09-28,4.42
2010-09-29,4.45
2010-09-30,4.22
2010-10-01,4.25
2010-10-04,4.11
2010-10-05,4.21
2010-10-06,4.5
2010-10-07,4.41
2010-10-08,4.54
2010-10-12,4.5
2010-10-13,4.6
2010-10-14,4.67
2010-10-15,4.81
2010-10-18,4.92
2010-10-19,4.9
2010-10-20,4.77
2010-10-21,4.67
