"Index","FIO.Close"
2014-03-28,-0.0257
2014-03-31,0.01436
2014-04-01,0.01697
2014-04-02,0
2014-04-03,-0.03229
2014-04-04,-0.04239
2014-04-07,-0.0091
2014-04-08,0.01212
2014-04-09,0.03938
2014-04-10,-0.08456
2014-04-11,-0.03202
2014-04-14,-0.01751
2014-04-15,0.01098
2014-04-16,0.04065
2014-04-17,-0.01372
2014-04-21,0.01581
2014-04-22,0.03797
2014-04-23,-0.0255
2014-04-24,-0.11366
2014-04-25,-0.00464
2014-04-28,-0.02115
2014-04-29,0.00119
2014-04-30,0.02345
2014-05-01,0.00923
2014-05-02,-0.01155
2014-05-05,-0.01051
2014-05-06,-0.02015
2014-05-07,-0.03411
2014-05-08,-0.00622
2014-05-09,0
2014-05-12,0.03552
2014-05-13,0.01077
2014-05-14,-0.01318
2014-05-15,0
2014-05-16,-0.02442
2014-05-19,0.03163
2014-05-20,0.01072
2014-05-21,-0.01312
2014-05-22,0.00956
2014-05-23,-0.01076
2014-05-27,0.01669
2014-05-28,-0.01789
2014-05-29,0.0048
2014-05-30,-0.04407
2014-06-02,0.01244
2014-06-03,-0.00994
2014-06-04,-0.0113
2014-06-05,0.0323
2014-06-06,0.02177
2014-06-09,0.01896
2014-06-10,-0.00235
2014-06-11,0.02899
2014-06-12,0.0091
2014-06-13,0.04971
2014-06-16,0.20224
2014-06-17,0.00439
2014-06-18,0.01651
2014-06-19,-0.00086
2014-06-20,0.00859
2014-06-23,-0.00429
2014-06-24,-0.00344
2014-06-25,-0.02267
2014-06-26,-0.00088
2014-06-27,0.00088
2014-06-30,-0.00353
2014-07-01,0
2014-07-02,-0.00266
2014-07-03,0.00177
2014-07-07,-0.00266
2014-07-08,0
2014-07-09,0.00266
2014-07-10,-0.00266
2014-07-11,0.00177
2014-07-14,0
2014-07-15,-0.00177
2014-07-16,-0.00089
2014-07-17,-0.00089
2014-07-18,0
2014-07-21,0.00089
2014-07-22,-0.00178
2014-07-23,-0.00089
